"gene","padj","logpadj","lfc","direction"
"LOC107049579",0.0117137003486264,1.93130588997193,-0.737468626136189,"pituitary"
"ULK3",1.61608098913889e-57,56.7915368785523,-0.737490937667984,"pituitary"
"DHRS3",5.84941965047293e-66,65.2328872202597,-0.737546528258488,"pituitary"
"LOC100857358",5.90866621044001e-42,41.2285105432846,-0.738329543937072,"pituitary"
"PGAP2",1.57049572115347e-61,60.8039632425077,-0.738470384228619,"pituitary"
"PUS1",6.87256503162874e-129,128.162881141955,-0.738681168513317,"pituitary"
"L3MBTL3",9.70360864408407e-182,181.013066727305,-0.738810418797806,"pituitary"
"BCR",3.3846382450739e-76,75.4704877425073,-0.7388766605959,"pituitary"
"LOC107051178",5.02103647567817e-40,39.2992066236509,-0.739092089995007,"pituitary"
"TPO",0.000153772956053543,3.81312003689773,-0.739581947919566,"pituitary"
"IRF7",3.84425909303369e-19,18.415187349702,-0.740517495382257,"pituitary"
"WWC3",8.80440528919809e-31,30.0552999739775,-0.740597389247851,"pituitary"
"SCRN1",2.57039750029169e-72,71.5899997098072,-0.740836016961264,"pituitary"
"PAF1",3.69208796050393e-74,73.4327279608676,-0.741340207529058,"pituitary"
"ARID1B",2.51234183131748e-169,168.599921270446,-0.741408706452965,"pituitary"
"CCDC102B",2.0263133499241e-16,15.6932933943063,-0.741493510147454,"pituitary"
"LOC107050012",1.69336910803379e-16,15.7712483672836,-0.741548775307319,"pituitary"
"UBP1",6.56416514392232e-54,53.1828205013252,-0.741562760348019,"pituitary"
"SLC31A2",1.6672758215693e-45,44.7779925478165,-0.741782773844,"pituitary"
"ATP2B1",8.9881170897072e-31,30.0463312785891,-0.742007602125827,"pituitary"
"TMEM68",5.43869872226786e-112,111.264504998343,-0.742025974072826,"pituitary"
"SREBF1",5.50106837615511e-16,15.259552956904,-0.742662412751521,"pituitary"
"DIS3L",2.95388700891828e-96,95.5296061211912,-0.74393984407266,"pituitary"
"RNF145",2.21530180307165e-135,134.654567099021,-0.744117832113371,"pituitary"
"LACTBL1",1.13044474920864e-11,10.9467506590596,-0.744872909334235,"pituitary"
"METTL14",6.65099758172902e-61,60.1771132100732,-0.745047895590887,"pituitary"
"SRSF2",4.77077187320058e-172,171.321411349859,-0.745457213962252,"pituitary"
"CADPS2",7.40536654073292e-36,35.1304534404948,-0.745680136739015,"pituitary"
