"","V1","bird","sex","tissue","treatment","group","study","BRCA1","PRL","study2"
"170","r81.x_male_pituitary_inc.prolong","r81.x","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.68734036983518,19.7055848605474,"timing"
"171","r83.g45_female_pituitary_bldg","r83.g45","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.49948987272083,17.6369202581894,"charcterization"
"172","r84.x_male_pituitary_m.inc.d9","r84.x","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.3667686881058,16.7403173561935,"removal"
"173","r85.g39_male_pituitary_m.inc.d9.NYNO","r85.g39","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.31116051450993,17.9438183864449,"removal"
"174","r90.x_male_pituitary_inc.prolong","r90.x","male","pituitary","prolong","male.pituitary.prolong","manipulation",8.06904170387638,19.8643587161753,"timing"
"175","r95.blu99_female_pituitary_n9","r95.blu99","female","pituitary","n9","female.pituitary.n9","charcterization",7.56971949221068,19.5981339233262,"charcterization"
"176","s.o.pk_female_pituitary_lay","s.o.pk","female","pituitary","lay","female.pituitary.lay","charcterization",7.30468734291352,17.9151070282805,"charcterization"
"177","s.pu.pk_female_pituitary_prolong","s.pu.pk","female","pituitary","prolong","female.pituitary.prolong","manipulation",8.1860918350442,20.7641426519849,"timing"
"178","s.pu148.blk.r_male_pituitary_bldg","s.pu148.blk.r","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.30656552092324,17.056857463948,"charcterization"
"179","s.x.ATLAS_female_pituitary_control","s.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization",7.41930935000947,19.5601209858806,"charcterization"
"180","s002.x_female_pituitary_m.inc.d8","s002.x","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.28463864412057,18.0668418696387,"timing"
"181","s038.g.d.blk_female_pituitary_m.inc.d17","s038.g.d.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.3916479901001,19.334318528755,"removal"
"182","s044.blk.d.r_male_pituitary_m.inc.d8","s044.blk.d.r","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.24122507240529,17.7573236965726,"timing"
"183","s062.d.blk.g_male_pituitary_m.hatch","s062.d.blk.g","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.47565789510604,19.0779198065316,"removal"
"184","s063.d.blk.l_female_pituitary_bldg","s063.d.blk.l","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.12702834050319,15.2702347394571,"charcterization"
"185","s064.g.blk.pu_male_pituitary_m.inc.d17","s064.g.blk.pu","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.55844056585884,19.0182108491628,"removal"
"186","s065.l.d.o_male_pituitary_bldg","s065.l.d.o","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.50392960068515,17.4313468343194,"charcterization"
"187","s066.l.d.r_male_pituitary_bldg","s066.l.d.r","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.40822789081709,17.4279079832449,"charcterization"
"188","s067.o.l.y_male_pituitary_m.inc.d8","s067.o.l.y","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.38325438438457,17.8911566881251,"timing"
"189","s069.pk.pu.g_female_pituitary_m.inc.d3","s069.pk.pu.g","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.23750316354363,17.9684247245474,"removal"
"190","s071.pu.g.pk_male_pituitary_m.inc.d3","s071.pu.g.pk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.54329547430586,16.5313501596423,"removal"
"191","s089.blk.pk.pu_female_pituitary_extend","s089.blk.pk.pu","female","pituitary","extend","female.pituitary.extend","manipulation",7.74671146914485,20.3125111767859,"timing"
"192","s090.blk.pk.w_male_pituitary_m.hatch","s090.blk.pk.w","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.78005076747137,19.5280926436944,"removal"
"193","s091.blk.r.g_female_pituitary_m.inc.d8","s091.blk.r.g","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.42222881926589,18.0725211126338,"timing"
"194","s092.blk.r.o_female_pituitary_bldg","s092.blk.r.o","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.54341063846729,16.6184036686793,"charcterization"
"195","s093.blk.y.d_female_pituitary_m.inc.d3","s093.blk.y.d","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.37152062504933,16.7417792659677,"removal"
"196","s095.g.blk.o_female_pituitary_lay","s095.g.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization",7.21662754907101,17.0702320318464,"charcterization"
"197","s096.g.blk.pk_male_pituitary_m.inc.d17","s096.g.blk.pk","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.73173649761192,19.3154048359259,"removal"
"198","s100.l.pk.blk_female_pituitary_m.inc.d17","s100.l.pk.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.35424188078153,20.1274883802363,"removal"
"199","s103.y.pk.blk_female_pituitary_m.inc.d3","s103.y.pk.blk","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.3526701942928,17.7280081011841,"removal"
"200","s136.d.w.o_female_pituitary_lay","s136.d.w.o","female","pituitary","lay","female.pituitary.lay","charcterization",7.29481788546053,18.1511181796044,"charcterization"
"201","s137.g.blk.y_female_pituitary_extend","s137.g.blk.y","female","pituitary","extend","female.pituitary.extend","manipulation",7.25962924040723,20.1288869291468,"timing"
"202","s139.l.blk.w_male_pituitary_m.inc.d3","s139.l.blk.w","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.53340713274418,17.2006686438684,"removal"
"203","s142.o.pk.pu_female_pituitary_lay","s142.o.pk.pu","female","pituitary","lay","female.pituitary.lay","charcterization",7.33358886686486,17.8084792281611,"charcterization"
"204","s150.w.g.blk_male_pituitary_lay","s150.w.g.blk","male","pituitary","lay","male.pituitary.lay","charcterization",7.47869933072342,17.1509250055536,"charcterization"
"205","s175.blk.pu.pk_male_pituitary_m.inc.d3","s175.blk.pu.pk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.46720693646474,17.0861975880604,"removal"
"206","s176.blk.pu.r_female_pituitary_lay","s176.blk.pu.r","female","pituitary","lay","female.pituitary.lay","charcterization",7.27661409665059,17.2067114677542,"charcterization"
"207","s186.l.o.pk_female_pituitary_extend","s186.l.o.pk","female","pituitary","extend","female.pituitary.extend","manipulation",7.39090028312556,20.2281344921769,"timing"
"208","s187.l.o.r_male_pituitary_n9","s187.l.o.r","male","pituitary","n9","male.pituitary.n9","charcterization",7.34177744104325,18.9647106463733,"charcterization"
"209","s243.blk.pk.r_male_pituitary_lay","s243.blk.pk.r","male","pituitary","lay","male.pituitary.lay","charcterization",7.26038171466446,17.7413040165753,"charcterization"
"210","s333.y.blk.pk_female_pituitary_m.hatch","s333.y.blk.pk","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.27383768881357,20.0303379846578,"removal"
"211","w191.r1_female_pituitary_control","w191.r1","female","pituitary","control","female.pituitary.control","charcterization",7.52285675975371,16.7664980063098,"charcterization"
"212","w34.x_male_pituitary_inc.d9","w34.x","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.33143396801499,18.1777194902388,"charcterization"
"213","x.blk.blk.ATLAS_male_pituitary_control","x.blk.blk.ATLAS","male","pituitary","control","male.pituitary.control","charcterization",7.6569143091685,18.0563695221643,"charcterization"
"214","x.blk16_male_pituitary_n9","x.blk16","male","pituitary","n9","male.pituitary.n9","charcterization",7.48875292334418,19.4276036450983,"charcterization"
"215","x.blk20_female_pituitary_prolong","x.blk20","female","pituitary","prolong","female.pituitary.prolong","manipulation",8.09849564615979,20.8101115901417,"timing"
"216","x.blk23_male_pituitary_m.n2","x.blk23","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.58333588984491,19.3747760532403,"removal"
"217","x.blu.o.ATLAS_male_pituitary_control","x.blu.o.ATLAS","male","pituitary","control","male.pituitary.control","charcterization",7.34721858976649,18.5544253316899,"charcterization"
"218","x.blu101.w43_female_pituitary_inc.d9","x.blu101.w43","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.38548063578368,18.136663708941,"charcterization"
"219","x.blu102.w105_female_pituitary_inc.d3","x.blu102.w105","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.37650565482662,18.7090984827039,"charcterization"
"220","x.blu106.o153_male_pituitary_inc.d9.NYNO","x.blu106.o153","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.59400073055365,18.9411090822506,"charcterization"
"221","x.blu109.w121_female_pituitary_n5","x.blu109.w121","female","pituitary","n5","female.pituitary.n5","charcterization",7.3170550523122,19.6041021518936,"charcterization"
"222","x.blu116.w107_female_pituitary_inc.d17.NYNO","x.blu116.w107","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",8.43557241489758,20.9480912112462,"charcterization"
"223","x.blu117.w89_male_pituitary_inc.d17","x.blu117.w89","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",8.3914351965457,21.1088321648794,"charcterization"
"224","x.blu122.r66_female_pituitary_inc.d9","x.blu122.r66","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.38122807978681,17.5363025410954,"charcterization"
"225","x.blu23.w14_male_pituitary_n9","x.blu23.w14","male","pituitary","n9","male.pituitary.n9","charcterization",7.35303480361031,19.2420659838215,"charcterization"
"226","x.blu25_female_pituitary_m.inc.d9","x.blu25","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.13325281420578,17.9143433656805,"removal"
"227","x.blu30_male_pituitary_n5","x.blu30","male","pituitary","n5","male.pituitary.n5","charcterization",7.46679882490126,20.0073081264892,"charcterization"
"228","x.blu42.o28_male_pituitary_inc.d3","x.blu42.o28","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.2971415432459,17.2878422666142,"charcterization"
"229","x.blu43.g132_female_pituitary_n9","x.blu43.g132","female","pituitary","n9","female.pituitary.n9","charcterization",7.16816566128084,17.2749288020461,"charcterization"
"230","x.blu57_male_pituitary_prolong","x.blu57","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.94577535065067,20.3779569113814,"timing"
"231","x.blu6.y80_female_pituitary_lay","x.blu6.y80","female","pituitary","lay","female.pituitary.lay","charcterization",7.09680642273516,15.1000829673879,"charcterization"
"232","x.blu69_male_pituitary_extend","x.blu69","male","pituitary","extend","male.pituitary.extend","manipulation",7.53902614356513,20.4023118385956,"timing"
"233","x.blu73_male_pituitary_extend","x.blu73","male","pituitary","extend","male.pituitary.extend","manipulation",7.6510056843544,19.9657560433526,"timing"
"234","x.blu76_male_pituitary_m.hatch","x.blu76","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.73527055649881,19.4936259803068,"removal"
"235","x.blu94_female_pituitary_m.inc.d17","x.blu94","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.60158782742841,19.8652207035307,"removal"
"236","x.blu96_female_pituitary_m.n2","x.blu96","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.52085238250829,19.9340853089809,"removal"
"237","x.g.ATLAS_male_pituitary_control","x.g.ATLAS","male","pituitary","control","male.pituitary.control","charcterization",7.32172133596704,18.0991547111549,"charcterization"
"238","x.g.g.ATLAS_male_pituitary_control","x.g.g.ATLAS","male","pituitary","control","male.pituitary.control","charcterization",7.76924445677394,16.4214336622031,"charcterization"
"239","x.g.g.g.ATLAS_male_pituitary_control","x.g.g.g.ATLAS","male","pituitary","control","male.pituitary.control","charcterization",7.21200265554882,18.6122334287911,"charcterization"
"240","x.g13.w109_male_pituitary_inc.d9","x.g13.w109","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.28428396817514,17.5531559212958,"charcterization"
"241","x.g14.w199_male_pituitary_inc.d17","x.g14.w199","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.30201034646346,18.52205380913,"charcterization"
"242","x.g147.blu28_male_pituitary_inc.d3","x.g147.blu28","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.30135086376705,17.4109658389993,"charcterization"
"243","x.g26_female_pituitary_m.inc.d8","x.g26","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.34202306802908,17.9309746498974,"timing"
"244","x.g37_female_pituitary_n5","x.g37","female","pituitary","n5","female.pituitary.n5","charcterization",7.22631183213335,19.9196318419102,"charcterization"
"245","x.g4.w50_female_pituitary_n9","x.g4.w50","female","pituitary","n9","female.pituitary.n9","charcterization",7.70744464987486,18.1366995826133,"charcterization"
"246","x.g43_female_pituitary_n5","x.g43","female","pituitary","n5","female.pituitary.n5","charcterization",7.33694933940635,20.3915412603703,"charcterization"
"247","x.g49_female_pituitary_n5.NYNO","x.g49","female","pituitary","n5","female.pituitary.n5","charcterization",7.30861612100453,19.6228747421302,"charcterization"
"248","x.g5.w79_male_pituitary_m.inc.d3","x.g5.w79","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.41667034976029,17.7196719682687,"removal"
"249","x.g50_female_pituitary_inc.prolong","x.g50","female","pituitary","prolong","female.pituitary.prolong","manipulation",8.00356975106485,20.1234434761339,"timing"
"250","x.g70_male_pituitary_hatch","x.g70","male","pituitary","hatch","male.pituitary.hatch","charcterization",8.03594180504673,20.7060388808131,"charcterization"
"251","x.g9.o166_female_pituitary_inc.d9.NYNO","x.g9.o166","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.1403903872358,18.9759237464333,"charcterization"
