"","bird","sex","tissue","treatment","group","SOCS5","SOCS1","SOCS4","SOCS2","CISH"
"y135.blu107.x_female_hypothalamus_inc.d17","y135.blu107.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17",1424,24,116,61,220
"y136.x_female_hypothalamus_inc.d17","y136.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17",1149,25,121,104,249
"y140.w119.x_female_hypothalamus_inc.d9","y140.w119.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9",848,18,111,77,200
"y149.r52.x_male_hypothalamus_inc.d3","y149.r52.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3",1648,29,205,78,304
"y15.x_female_hypothalamus_hatch","y15.x","female","hypothalamus","hatch","female.hypothalamus.hatch",1374,5,148,34,222
"y6.o54_female_hypothalamus_n5","y6.o54","female","hypothalamus","n5","female.hypothalamus.n5",1219,17,115,54,228
"y7.g58_female_hypothalamus_hatch","y7.g58","female","hypothalamus","hatch","female.hypothalamus.hatch",867,17,91,57,207
"y94.g133.x_female_hypothalamus_n5.NYNO","y94.g133.x","female","hypothalamus","n5","female.hypothalamus.n5",843,12,92,61,222
"y95.g131.x_male_hypothalamus_inc.d9","y95.g131.x","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9",3493,48,333,131,640
"y97.x_female_hypothalamus_n9","y97.x","female","hypothalamus","n9","female.hypothalamus.n9",534,9,45,45,109
"y98.o50.x_male_hypothalamus_inc.d3","y98.o50.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3",1186,20,132,71,168
