bird_id,clean_id,sex,stage,prolactin_ng_mL,number,comment,,,,,
o173.w179.x,o173w179,female,inc.d3,29.28,108,,,,,,
g114.w83.x,g114w83,male,hatch,29.05,49,,,,,,
o73.x,o73,female,inc.d9,28.94,121,,,,,,
g20.w106.x,g20w106,male,inc.d3,28.93,58,,,,,,
x.o4,o4,male,m.hatch,28.88,266,,,,,,
blu37.r65.x,blu37r65,male,n5,27.69,29,,,,,,
g6.w197.x,g6w197,female,inc.d3,27.51,67,,,,,,
x.g26,g26,female,m.inc.d8,27.47,242,,,,,,
x.blu101.w43,blu101w43,female,inc.d9,27.25,219,,,,,,
o49.x,o49,male,inc.d9,27.21,117,,,,,,
o156.w80.x,o156w80,female,inc.d3,26.29,104,,,,,,
blu111.w113.x,blu111w113,male,inc.d3,25.57,20,,,,,,
x.blu94,blu94,female,m.inc.d17,25.37,236,,,,,,
r190.o43.x,r190o43,male,lay,24.22,137,,,,,,
l.s.w.d,lswd,female,m.hatch,23.31,98,,,,,,
y129.x,y129,male,n9,21.62,306,,,,,,
blu56.o53,blu56o53,female,m.inc.d3,21.31,36,,,,,,
x.r74.o29,r74o29,female,m.hatch,21.04,283,,,,,,
x.r33.w183,r33w183,female,inc.d3,20.73,276,,,,,,
blu80.r97,blu80r97,female,m.inc.d8,20.54,38,,,,,,
blu38.g135.x,blu38g135,female,bldg,20.37,30,,,,,,
x.w6,w6,female,n9,19.98,289,,,,,,
r176.blu54,r176blu54,male,inc.d17,19.94,135,,,,,,
x.o47.y82,o47y82,male,inc.d9,19.91,265,,,,,,
y12.x,y12,female,m.inc.d9,19.86,307,,,,,,
r4.x,r4,male,m.inc.d8,19.80,149,,,,,,
blu119.w84.x,blu119w84,female,m.inc.d8,19.66,24,,,,,,
o52.blu53,o52blu53,female,inc.d17,19.03,118,,,,,,
x.blu122.r66,blu122r66,female,inc.d9,18.08,225,,,,,,
r30.w112.r46,r30w112r46,female,inc.d9,17.55,142,,,,,,
x.r180,r180,female,m.inc.d3,17.15,272,,,,,,
x.y109,y109,female,inc.d9,16.80,290,,,,,,
r73.g127.x,r73g127,female,inc.d3,16.75,152,,,,,,
g143.blu32.x,g143blu32,male,inc.d17,16.67,54,,,,,,
x.o40.r70,o40r70,male,m.inc.d17,16.62,264,,,,,,
y6.o54,y6o54,female,n5,16.46,323,,,,,,
r95.blu99,r95blu99,female,n9,16.24,158,,,,,,
y98.o50.x,y98o50,male,inc.d3,15.56,330,,,,,,
x.y141.w116,y141w116,male,inc.d9,15.29,294,,,,,,
blk0.x,blk0,female,m.hatch,15.26,1,,,,,,
o59.blu64,o59blu64,male,m.inc.d17,15.22,120,,,,,,
x.g13.w109,g13w109,male,inc.d9,14.97,239,,,,,,
x.r29.w96,r29w96,male,inc.d17,14.95,275,,,,,,
x.blu42.o28,blu42o28,male,inc.d3,14.85,229,,,,,,
y98.g54,y98g54,female,m.hatch,14.79,329,,,,,,
x.blu6.y80,blu6y80,female,lay,14.53,233,,,,,,
y136.x,y136,female,inc.d17,14.47,312,,,,,,
x.r76,r76,female,m.inc.d9,14.31,284,,,,,,
g75.x,g75,female,inc.d9,13.10,69,,,,,,
blu39.o26.x,blu39o26,female,inc.d3,12.92,31,,,,,,
g63.blu65,g63blu65,female,m.inc.d17,12.88,66,,,,,,
r37.w100.x,r37w100,male,n9,12.79,144,,,,,,
w34.x,w34,male,inc.d9,12.38,214,,,,,,
r27.w111.blu125,r27w111blu125,female,inc.d3,12.12,141,,,,,,
g.s.blk.y,gsblky,male,lay,11.74,82,,,,,,
y95.g131.x,y95g131,male,inc.d9,11.73,327,,,,,,
x.blu76,blu76,male,m.hatch,11.67,235,,,,,,
x.s188,s188,female,m.inc.d8,11.67,285,,,,,,
blu108.w40.o158,blu108w40o158,male,inc.d9,11.61,18,,,,,,
blk5.x,blk5,male,m.inc.d3,11.48,8,,,,,,
o48.r197.x,o48r197,male,inc.d3,11.45,116,,,,,,
x.y119.w11,y119w11,female,m.inc.d17,11.31,291,,,,,,
x.blu25,blu25,female,m.inc.d9,10.90,227,,,,,,
x.w192.o157,w192o157,male,inc.d9,10.87,287,,,,,,
x.o2,o2,male,n9,10.36,261,,,,,,
blk11.x,blk11,female,bldg,9.32,2,,,,,,
x.blu96,blu96,female,m.hatch,9.31,237,,,,,,
g144.r54.x,g144r54,female,m.inc.d3,9.19,55,,,,,,
x.g5.w79,g5w79,male,m.inc.d3,8.92,248,,,,,,
blu63.g62,blu63g62,female,m.inc.d9,8.91,37,,,,,,
g32.blu79,g32blu79,male,m.inc.d17,8.88,60,,,,,,
r85.g39,r85g39,male,m.inc.d9,8.45,156,,,,,,
o38.blu29.x,o38blu29,female,bldg,8.15,111,,,,,,
x.y51,y51,male,m.inc.d8,8.11,296,,,,,,
g137.r24.w5,g137r24w5,male,m.inc.d8,8.01,51,,,,,,
x.r64.g140,r64g140,male,inc.d3,7.89,281,,,,,,
x.r10.w18,r10w18,male,m.inc.d17,7.40,270,,,,,,
x.o30.g134,o30g134,male,bldg,7.37,262,,,,,,
r196.x,r196,male,m.inc.d9,7.21,140,,,,,,
y63.x,y63,male,m.inc.d9,6.67,322,,,,,,
blu33.y88.x,blu33y88,male,bldg,6.36,27,,,,,,
y55.x,y55,male,m.inc.d8,6.33,321,,,,,,
y149.r52.x,y149r52,male,inc.d3,6.20,317,,,,,,
x.r67.blu35,r67blu35,male,bldg,6.05,282,,,,,,
g146.blu51,g146blu51,male,inc.d3,6.03,56,,,,,,
y13.x,y13,female,inc.d3,6.01,313,,,,,,
g52.blu58,g52blu58,male,bldg,6.00,64,,,,,,
x.w51,w51,female,lay,5.85,288,,,,,,
y85.r71.x,y85r71,female,m.inc.d17,5.84,325,,,,,,
g104.w82.x,g104w82,male,bldg,5.54,48,,,,,,
x.g147.blu28,g147blu28,male,inc.d3,5.42,240,,,,,,
x.r185,r185,male,m.inc.d3,4.94,274,,,,,,
g34.x,g34,male,m.hatch,4.75,61,,,,,,
s.o.pk,sopk,female,lay,4.42,209,,,,,,
o3.x,o3,male,m.hatch,4.26,113,,,,,,
w191.r1,w191r1,female,control,4.20,213,,,,,,
g141.blu27.x,g141blu27,female,bldg,3.89,52,,,,,,
g.y.o.s,gyos,male,prolong,3.78,85,,,,,,
x.o163.w101,o163w101,male,inc.d3,3.65,257,,,,,,
x.r39.g10,r39g10,female,bldg,3.58,277,,,,,,
y.w.blk,ywblk,male,m.inc.d9,3.48,332,,,,,,
g73.x,g73,female,m.inc.d9,3.35,68,,,,,,
