"V1","sex","treatment","sextissue","hypothesis"
"o156.w80.x_female_pituitary_inc.d3","female","inc.d3","female_pituitary","incubation"
"o165.w122.x_female_pituitary_inc.d3.NYNO","female","inc.d3","female_pituitary","incubation"
"o172.w115.x_female_pituitary_hatch.NYNO","female","hatch","female_pituitary","hatchling.care"
"o173.w179.x_female_pituitary_inc.d3","female","inc.d3","female_pituitary","incubation"
"o35.r51.x_female_pituitary_inc.d17","female","inc.d17","female_pituitary","incubation"
"o38.blu29.x_female_pituitary_bldg","female","bldg","female_pituitary","anticipation"
"o39.y77.x_male_pituitary_hatch","male","hatch","male_pituitary","hatchling.care"
"o44.blu26.x_male_pituitary_hatch","male","hatch","male_pituitary","hatchling.care"
"o48.r197.x_male_pituitary_inc.d3","male","inc.d3","male_pituitary","incubation"
"o49.x_male_pituitary_inc.d9","male","inc.d9","male_pituitary","incubation"
"o52.blu53_female_pituitary_inc.d17","female","inc.d17","female_pituitary","incubation"
"o57.g59_male_pituitary_inc.d9","male","inc.d9","male_pituitary","incubation"
"o73.x_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"pk.s238.blk.w_male_pituitary_lay","male","lay","male_pituitary","incubation"
"pk.w.s141.o_male_pituitary_lay","male","lay","male_pituitary","incubation"
"r.r.x.ATLAS.R2XR_female_pituitary_control","female","control","female_pituitary","anticipation"
"r.r.x.ATLAS_female_pituitary_control","female","control","female_pituitary","anticipation"
"r.s005.pk.blk_male_pituitary_lay","male","lay","male_pituitary","incubation"
"r.s056.g.o_female_pituitary_bldg","female","bldg","female_pituitary","anticipation"
"r.s059.d.o_male_pituitary_bldg","male","bldg","male_pituitary","anticipation"
"r.s116.blk.pu_male_pituitary_lay","male","lay","male_pituitary","incubation"
"r.s171.l.w_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"r.y.s007.blk_male_pituitary_n9","male","n9","male_pituitary","hatchling.care"
"r176.blu54_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"r183.o22_female_pituitary_hatch","female","hatch","female_pituitary","hatchling.care"
"r190.o43.x_male_pituitary_lay","male","lay","male_pituitary","incubation"
