"V1","sex","treatment","sextissue","hypothesis"
"g.s.blk.d_male_gonad_n9","male","n9","male_gonad","hatchling.care"
"g.s.blk.y_male_gonad_lay","male","lay","male_gonad","incubation"
"g.s043.pu.blk_male_gonad_lay","male","lay","male_gonad","incubation"
"g.s078.blk.o_female_gonad_lay","female","lay","female_gonad","incubation"
"g.x.ATLAS_female_gonad_control","female","control","female_gonad","anticipation"
"g104.w82.x_male_gonad_bldg","male","bldg","male_gonad","anticipation"
"g114.w83.x_male_gonad_hatch.NYNO","male","hatch","male_gonad","hatchling.care"
"g130.y81.x_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"g141.blu27.x_female_gonad_bldg","female","bldg","female_gonad","anticipation"
"g142.r40.x_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"g143.blu32.x_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"g146.blu51_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
"g20.w106.x_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
"g52.blu58_male_gonad_bldg","male","bldg","male_gonad","anticipation"
"g53.y84_male_gonad_hatch","male","hatch","male_gonad","hatchling.care"
"g6.w197.x_female_gonad_inc.d3","female","inc.d3","female_gonad","incubation"
"g75.x_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"l.s120.y.blk_female_gonad_bldg","female","bldg","female_gonad","anticipation"
"o.s.w.r_male_gonad_lay","male","lay","male_gonad","incubation"
"o152.o120.w42_male_gonad_n5","male","n5","male_gonad","hatchling.care"
"o156.w80.x_female_gonad_inc.d3","female","inc.d3","female_gonad","incubation"
"o165.w122.x_female_gonad_inc.d3.NYNO","female","inc.d3","female_gonad","incubation"
"o172.w115.x_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"o173.w179.x_female_gonad_inc.d3","female","inc.d3","female_gonad","incubation"
"o35.r51.x_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"o38.blu29.x_female_gonad_bldg","female","bldg","female_gonad","anticipation"
"o39.y77.x_male_gonad_hatch","male","hatch","male_gonad","hatchling.care"
"o44.blu26.x_male_gonad_hatch","male","hatch","male_gonad","hatchling.care"
"o48.r197.x_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
"o49.x_male_gonad_inc.d9","male","inc.d9","male_gonad","incubation"
"o52.blu53_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
