"gene","lfc","padj","logpadj","direction"
"ZFP91",0.277669087743338,0.00903492640713727,2.04407538058001,"bldg"
"CRMP1",0.277297942574684,0.000675646613110806,3.17028039592981,"bldg"
"TMEM242",0.276692944499368,0.0789139835184068,1.10284603320646,"bldg"
"PROS1",0.276374914848553,0.0760557797012819,1.11886777704824,"bldg"
"TMTC4",0.276137800424283,0.0484155504449772,1.31501512621169,"bldg"
"HMGXB3",0.275972481458192,0.00481654265792053,2.31726458901273,"bldg"
"BCL2L13",0.275966368736715,0.00125192320229214,2.90242231157584,"bldg"
"FBXO42",0.275863205538473,0.0917201372570147,1.0375353040302,"bldg"
"NISCH",0.275569984793674,0.00381909070966938,2.4180400262978,"bldg"
"SLC30A4",0.275527076322399,0.023376184001989,1.631226382915,"bldg"
"LOC100859860",0.275332836042063,0.0615450636988851,1.21080677448419,"bldg"
"CPLX1",0.27529152386809,0.062069366406441,1.20712268779635,"bldg"
"PARG",0.274926406805546,0.000848321834350748,3.07143935485851,"bldg"
"NKRF",0.274903744661795,0.000441066046032609,3.3554963736164,"bldg"
"ZBTB33",0.274734796297954,0.000290999865784474,3.5361072113202,"bldg"
"TTC7B",0.274657116812769,0.00016626860315109,3.77918975177602,"bldg"
"ZDHHC3",0.274618500683256,0.00995984952005436,2.0017472231329,"bldg"
"C4BPA",0.274370076683217,0.0331564773788673,1.47943161612492,"bldg"
"TMEM183A",0.273072966558769,0.0664214841890143,1.1776914243128,"bldg"
"IMPAD1",0.27292658356552,0.0827363895294361,1.08230343487458,"bldg"
"SGSM1",0.272537701405525,0.00890443772018098,2.05039349930377,"bldg"
"WDR26",0.272300265386872,0.000404556098356526,3.39302124780344,"bldg"
"RBBP5",0.272295165632476,0.0195793781900298,1.7082011048172,"bldg"
"PCNT",0.271823476695013,0.0636791709611794,1.19600259931135,"bldg"
"SIDT2",0.271731654451013,0.0292380006016314,1.53405232929857,"bldg"
"WTIP",0.271460778403418,0.0716621266048976,1.1447103081003,"bldg"
"PRPF19",0.271394806960703,0.0749391840951406,1.12529103962369,"bldg"
"IPMK",0.271232779983232,0.00381986129384815,2.41795240682914,"bldg"
"INSIG1",0.27078720594397,0.0469659498472902,1.32821688999374,"bldg"
"PTPRZ1",0.270619118583236,0.00758570719759909,2.1200039247391,"bldg"
"DNAH12",0.270494127971722,0.0854052143571302,1.06851561294804,"bldg"
"ZBTB48",0.270080864770376,0.0682954809146524,1.16560803246431,"bldg"
"LCORL",0.270067541187077,0.0375139800612915,1.42580685675145,"bldg"
"TRAPPC8",0.269558840331621,0.00204724612227668,2.68882994281811,"bldg"
"LPHN3",0.269197315007359,0.0224272516564809,1.64922394369549,"bldg"
"TCP11L2",0.268880803155667,0.0252244717308855,1.59817792030468,"bldg"
"DOCK3",0.268765667687366,0.0476136955037042,1.3222681097546,"bldg"
"MAP2K1",0.268373985749337,0.0544381661382352,1.26409651332652,"bldg"
"DCLRE1A",0.268320528736478,0.00702910682766831,2.15309985626876,"bldg"
"STIM2",0.268252578627223,0.0690971459371534,1.16053989082181,"bldg"
"GSK3B",0.268139957012138,0.0541366926594306,1.26650827984799,"bldg"
"NEURL1",0.268108483491058,0.0634135351873336,1.19781803502381,"bldg"
"PIK3CG",0.26785836883657,0.0206596750201184,1.684876514282,"bldg"
"C6H10ORF118",0.267837219351236,0.00621284124402598,2.20670974371899,"bldg"
"SPTLC2",0.267566390977526,0.0329034854251806,1.48275809534036,"bldg"
"JPH1",0.267448310443798,0.0434114948710986,1.36239525901061,"bldg"
"TMEM106B",0.267337714787996,0.00369380232997751,2.43252634909528,"bldg"
"SUSD6",0.267280911973537,0.00273792972701044,2.56257770286501,"bldg"
"ATF7IP",0.26720208232425,0.00459448338078336,2.33776331506976,"bldg"
"MTOR",0.266843901837474,0.0206549567384676,1.68497571031046,"bldg"
"CDK14",0.266828402713298,0.0253076145483071,1.59674878875446,"bldg"
"PSMF1",0.266265054387889,0.0289250436198714,1.53872597744604,"bldg"
"ATL2",0.265999340839085,0.000827084509266368,3.08245011314039,"bldg"
"FUNDC2",0.265993500310938,0.000740070525839199,3.13072689172397,"bldg"
"TTI1",0.265600914335387,0.0384568304577766,1.41502651238618,"bldg"
"HECTD1",0.265450758799559,0.00956735023755211,2.01920832727579,"bldg"
"UPF2",0.265308634436776,0.0018018672734929,2.74427720254262,"bldg"
"SEC22C",0.265280555330076,0.00131738186645971,2.88028831884401,"bldg"
