"net$unmergedColors","entrezid","row.names","Name","geneid"
"yellow","XP_015142346.1",425201,"RTN4RL2",425201
"yellow","NP_001280206.1",415424,"SCG3",415424
"yellow","XP_001232858.1",416770,"SDF2L1",416770
"yellow","XP_424458.4",426850,"SEC11C",426850
"yellow","NP_001264770.1",416119,"SEC13",416119
"yellow","XP_015153366.1",426369,"SEC61A2",426369
"yellow","NP_001289088.1",420997,"SEC61B",420997
"yellow","NP_001289117.1",776639,"SEC61G",776639
"yellow","XP_421303.2",423391,"SEL1L",423391
"yellow","NP_001020612.1",415995,"SELK",415995
"yellow","XP_015147337.1",107054146,"SERP1",107054146
"yellow","XP_015154906.1",418511,"SETD4",418511
"yellow","XP_015144356.1",418008,"SGSM3",418008
"yellow","XP_015141330.1",422867,"SH3TC1",422867
"yellow","XP_015147272.1",777244,"SHOX2",777244
"yellow","NP_990013.1",395417,"SIK1",395417
"yellow","NP_001263293.1",420834,"SIRT5",420834
"yellow","XP_015139313.1",378786,"SIX3",378786
"yellow","NP_001006323.1",419875,"SLC16A1",419875
"yellow","XP_015135438.1",417435,"SLC16A6",417435
"yellow","XP_015140231.1",421863,"SLC17A5",421863
"yellow","XP_015151869.1",419236,"SLC17A9",419236
"yellow","XP_001232900.3",769612,"SLC1A4",769612
"yellow","NP_001138699.1",419520,"SLC23A2",419520
"yellow","XP_015143144.1",423330,"SLC25A21",423330
"yellow","XP_422831.3",425029,"SLC33A1",425029
"yellow","NP_989845.2",395185,"SLC35B1",395185
"yellow","XP_015139893.1",421518,"SLC35F3",421518
"yellow","XP_015134637.1",100857309,"SLC38A8",100857309
"yellow","XP_004944660.1",416033,"SLC41A3",416033
"yellow","XP_015130659.1",395496,"SLC5A1",395496
"yellow","XP_015133910.1",422213,"SLC7A3",422213
"yellow","NP_001025750.2",415832,"SLC7A5",415832
"yellow","NP_001265080.1",419231,"SLCO4A1",419231
"yellow","XP_003640598.1",418797,"SLITRK6",418797
"yellow","XP_015148524.1",396360,"SLMAP",396360
"yellow","NP_001264949.1",421827,"SMIM8",421827
"yellow","XP_015147787.1",415619,"SMPD3",415619
"yellow","XP_015142341.1",101750657,"SMTNL1",101750657
"yellow","NP_989704.1",378800,"SOSTDC1",378800
"yellow","NP_989815.2",395143,"SOX4",395143
"yellow","XP_004941261.2",422665,"SPATA5",422665
"yellow","XP_015131871.1",422665,"SPATA5",422665
"yellow","XP_015129502.1",107050217,"SPC24",107050217
"yellow","NP_001264786.1",424172,"SPC25",424172
"yellow","NP_001165115.1",415899,"SPCS1",415899
"yellow","XP_417247.3",419056,"SPCS2",419056
"yellow","NP_990628.1",396234,"SPCS3",396234
"yellow","XP_015145595.1",429033,"SPEG",429033
"yellow","XP_420393.2",422425,"SPOCK3",422425
"yellow","NP_001090993.1",395583,"SPRY1",395583
"yellow","NP_001073203.1",427643,"SPRY4",427643
"yellow","NP_001034366.1",419713,"SRPR",419713
"yellow","NP_001006186.1",416821,"SSPO",416821
"yellow","XP_015136881.1",420574,"SSPO",420574
"yellow","XP_015131377.1",420871,"SSR1",420871
"yellow","NP_001006561.1",425656,"SSR2",425656
"yellow","NP_001264404.1",425027,"SSR3",425027
"yellow","XP_015129111.1",107049822,"SSR4",107049822
"yellow","NP_001106638.1",771648,"SSTR1",771648
"yellow","XP_015146325.1",404746,"ST6GALNAC3",404746
"yellow","NP_001026684.1",428444,"STT3B",428444
"yellow","XP_004943918.1",427508,"SV2B",427508
"yellow","XP_003640437.1",100857420,"SYN3",100857420
"yellow","XP_015148501.1",396359,"SYNPR",396359
"yellow","NP_001186572.2",423175,"SYT13",423175
"yellow","NP_001074358.1",771987,"SYTL1",771987
"yellow","XP_001232174.2",768993,"TACR3",768993
"yellow","XP_015138202.1",417830,"TBC1D30",417830
"yellow","XP_004935536.1",426319,"TBCE",426319
"yellow","XP_421827.4",423969,"TCERG1L",423969
"yellow","XP_015149059.1",373854,"TENM2",373854
"yellow","XP_015137423.1",420561,"TFPI2",420561
"yellow","NP_001103529.2",421398,"THADA",421398
"yellow","XP_015139171.1",421398,"THADA",421398
"yellow","NP_001264364.1",424855,"TM4SF19",424855
"yellow","XP_001234722.2",772254,"TMEM196",772254
"yellow","XP_424100.4",426455,"TMEM52B",426455
"yellow","XP_015153730.1",100859131,"TMPRSS13",100859131
"yellow","NP_989671.1",374252,"TNKS",374252
"yellow","NP_001025757.1",415927,"TRAIP",415927
"yellow","NP_989731.1",378918,"TRAM1",378918
"yellow","NP_001264437.1",416977,"TRIAP1",416977
"yellow","XP_015138631.1",428386,"TRIB1",428386
"yellow","XP_001234476.2",771180,"TRIM35",771180
"yellow","XP_015132237.1",423579,"TRIM9",423579
"yellow","XP_015132250.1",423579,"TRIM9",423579
"yellow","XP_015138365.1",420180,"TRPA1",420180
"yellow","NP_001264098.1",416590,"TSR3",416590
"yellow","XP_015151618.1",417636,"TUBD1",417636
"yellow","XP_414741.3",416428,"TXNDC11",416428
"yellow","XP_424463.1",426854,"TXNL1",426854
"yellow","XP_015133440.1",421060,"TYMS",421060
"yellow","XP_015158024.1",107057454,"UFC1",107057454
"yellow","NP_001025998.1",418894,"UFM1",418894
"yellow","XP_015156518.1",427987,"UMODL1",427987
"yellow","NP_001026396.2",423716,"UNC5B",423716
"yellow","XP_015136356.1",419030,"USP35",419030
"yellow","XP_003641830.1",100859365,"VEPH1",100859365
"yellow","NP_001019905.1",415522,"VIMP",415522
"yellow","NP_001090992.1",395329,"VIPR1",395329
"yellow","XP_015153800.1",431270,"VWA5A",431270
"yellow","XP_015143411.1",423558,"WDHD1",423558
"yellow","XP_015135440.1",417437,"WIPI1",417437
"yellow","NP_990862.1",396543,"WNT8A",396543
"yellow","XP_425416.2",427842,"WSCD1",427842
"yellow","NP_001006192.2",416918,"XBP1",416918
"yellow","NP_989745.1",386575,"YBX1",386575
"yellow","XP_004947258.1",101751947,"ZSWIM1",101751947
