"sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"female","gonad","eggs_chicks","chicks","FZD3",0.693966409076727,0.0527324854777138,1.27792175827565
"female","gonad","eggs_chicks","chicks","LOC101748353",0.693689442673604,0.00459694485941475,2.33753070560264
"female","gonad","eggs_chicks","chicks","ELOVL6",0.692326640779463,0.0221253094503228,1.65511064643227
"female","gonad","eggs_chicks","chicks","SQLE",0.691478959900177,0.0181122814760344,1.74202684123505
"female","gonad","eggs_chicks","chicks","LOC101750635",0.691211987704694,0.00871703230300524,2.05963134463141
"female","gonad","eggs_chicks","chicks","ATP13A2",0.691090552278735,0.0309360748520139,1.50953479012761
"female","gonad","eggs_chicks","chicks","SLC4A2",0.690293413743186,0.0103654563047939,1.98441157477687
"female","gonad","eggs_chicks","chicks","PIGO",0.688480423201102,0.00198009390229959,2.70331421363567
"female","gonad","eggs_chicks","chicks","E2F8",0.688205307617452,0.00467981721469874,2.32977110936134
"female","gonad","eggs_chicks","chicks","LSS",0.68414072930176,0.00193036289596181,2.71436103871319
"female","gonad","eggs_chicks","chicks","ARHGEF37",0.684007849810971,0.00755977232528024,2.12149128377966
"female","gonad","eggs_chicks","chicks","RBM47",0.680178930325642,0.0959839365730207,1.01780144239191
"female","gonad","eggs_chicks","chicks","LOC107051565",0.678668673969392,0.0221046518474609,1.65551632092627
"female","gonad","eggs_chicks","chicks","QSOX1",0.678365786682595,0.0995534102510576,1.00194385841057
"female","gonad","eggs_chicks","chicks","LOC107051508",0.677890706821493,0.0211590568920415,1.674503693712
"female","gonad","eggs_chicks","chicks","LAMB3",0.676836230562297,0.026822971278656,1.5714931154311
"female","gonad","eggs_chicks","chicks","FNDC1",0.675142626265727,0.0786175402376395,1.10448054838074
"female","gonad","eggs_chicks","chicks","PTK2B",0.673653332449048,0.0248201873748801,1.60519494420839
"female","gonad","eggs_chicks","chicks","SAMD11",0.671640429645823,0.00515866593226696,2.28746259549763
"female","gonad","eggs_chicks","chicks","LOC107050947",0.670618814241155,0.00675112769760984,2.17062367725147
"female","gonad","eggs_chicks","chicks","LOC107049466",0.668556997734563,0.0030167224745062,2.52046464121195
"female","gonad","eggs_chicks","chicks","TCF7",0.662448374135415,0.0671332120256824,1.17306257325814
"female","gonad","eggs_chicks","chicks","FAM161A",0.656408436308572,0.0960561318053779,1.01747490644788
"female","gonad","eggs_chicks","chicks","NCAPH",0.650535825494877,0.0103654563047939,1.98441157477687
"female","gonad","eggs_chicks","chicks","DYRK3",0.650025690097126,0.0137926273513952,1.8603529973827
"female","gonad","eggs_chicks","chicks","TFCP2L1",0.649644314046998,0.099723890468487,1.00120078696692
"female","gonad","eggs_chicks","chicks","ENGASE",0.649379901513368,0.0216068655112165,1.66540823126198
"female","gonad","eggs_chicks","chicks","ENTPD8L",0.648096514999903,0.0632405257375527,1.19900452830389
"female","gonad","eggs_chicks","chicks","SPC24",0.648003841041236,0.0120591759873822,1.91868236685252
"female","gonad","eggs_chicks","chicks","FDPS",0.647141615615832,0.00217113537180237,2.66331309713798
"female","gonad","eggs_chicks","chicks","LRRK1",0.646682592479234,0.0124381493741541,1.90524423189447
"female","gonad","eggs_chicks","chicks","SEMA6B",0.646239555582316,0.0664408901157333,1.1775645578919
"female","gonad","eggs_chicks","chicks","SEMA4G",0.644628235938067,0.0950656124679702,1.02197654947828
"female","gonad","eggs_chicks","chicks","GABRD",0.642598863339773,0.0189412059754111,1.72259237317896
"female","gonad","eggs_chicks","chicks","DNAH14",0.640650885548277,0.00975761431333798,2.01065635212859
"female","gonad","eggs_chicks","chicks","SLC7A5",0.63662828489188,0.0615996062280722,1.21042206402911
"female","gonad","eggs_chicks","chicks","GALNT6",0.632690985844607,0.00766298598480411,2.11560196874421
"female","gonad","eggs_chicks","chicks","CD276",0.629106187371408,0.0190824476332842,1.71936592075074
"female","gonad","eggs_chicks","chicks","TBX3",0.624152628634434,0.0689356373395771,1.16155620481696
"female","gonad","eggs_chicks","chicks","EIF4G1",0.623448558043307,0.089316149798545,1.04907000657335
"female","gonad","eggs_chicks","chicks","ERBB2",0.623150856226021,0.0504021363664923,1.29755105497282
"female","gonad","eggs_chicks","chicks","SLC35B1",0.62122079360616,0.003975627865901,2.40059427401049
"female","gonad","eggs_chicks","chicks","TNFAIP2",0.621046522531363,0.0103654563047939,1.98441157477687
"female","gonad","eggs_chicks","chicks","GNG7",0.619688109979821,0.000356583161313598,3.44783916907219
"female","gonad","eggs_chicks","chicks","SNED1",0.618999012778427,0.00431385169427474,2.36513478956849
"female","gonad","eggs_chicks","chicks","LOC419035",0.617488806636379,0.0120918127601789,1.91750858642398
"female","gonad","eggs_chicks","chicks","TRIM25",0.616019443143801,0.021653381959063,1.66447426321581
"female","gonad","eggs_chicks","chicks","VEGFA",0.612578922373317,0.0956680441011218,1.01923310494166
"female","gonad","eggs_chicks","chicks","SYVN1",0.612334967478249,0.00834212529425452,2.07872329157066
"female","gonad","eggs_chicks","chicks","LOC107049580",0.608311243318947,0.0529825988705199,1.27586674276502
"female","gonad","eggs_chicks","chicks","BBS1",0.607956196339539,0.0549328837758524,1.26016760150539
"female","gonad","eggs_chicks","chicks","RP11-195F19.29",0.604690336553945,0.00213093757748721,2.67142927208304
"female","gonad","eggs_chicks","chicks","LOC107057085",0.604342004295339,0.0803477664671764,1.09502619138928
"female","gonad","eggs_chicks","chicks","CBY1",0.603183912426012,0.0346312377438371,1.46053198619492
"female","gonad","eggs_chicks","chicks","LOC107050646",0.602457682851026,0.0999129627764719,1.00037816245392
"female","gonad","eggs_chicks","chicks","STIM1",0.60215659217777,0.00459694485941475,2.33753070560264
"female","gonad","eggs_chicks","chicks","ACY1",0.600023244972649,0.0137538672141986,1.86157517284111
"female","gonad","eggs_chicks","chicks","GRHPR",0.599044367787241,0.0576991366994106,1.23883068475566
"female","gonad","eggs_chicks","chicks","LOC107051142",0.599004062330016,0.0257085985011699,1.589921598184
"female","gonad","eggs_chicks","chicks","KIAA2022",0.598643640003598,0.0647527943891892,1.18874148498233
"female","gonad","eggs_chicks","chicks","WBP1",0.597256142554888,0.0501438842597144,1.29978202763304
"female","gonad","eggs_chicks","chicks","LOC107049088",0.596092899619502,0.000646172532109892,3.18965150717669
"female","gonad","eggs_chicks","chicks","MYO1D",0.59190382402411,0.0344714796182799,1.46254007498303
"female","gonad","eggs_chicks","chicks","VANGL2",0.591228414066966,0.0490501512540223,1.30935964906515
"female","gonad","eggs_chicks","chicks","PDIA4",0.590970662353316,0.0280294981059196,1.55238467861435
"female","gonad","eggs_chicks","chicks","XKRX",0.58968634507689,0.0351816317870082,1.45368402105655
"female","gonad","eggs_chicks","chicks","LOC101747278",0.589137201138812,0.0822308779257109,1.08496507303579
"female","gonad","eggs_chicks","chicks","CKAP2L",0.589082484532042,0.00151707210302782,2.81899377768198
"female","gonad","eggs_chicks","chicks","LOC101751192",0.584968761562051,0.00678942671226467,2.1681668952646
"female","gonad","eggs_chicks","chicks","SLC7A1",0.584507182517913,0.0396792508587298,1.40143653588759
"female","gonad","eggs_chicks","chicks","NFIX",0.575003718135927,0.0174381197968121,1.75850034313563
"female","gonad","eggs_chicks","chicks","INAFM2",0.573315555123535,0.0477637927843137,1.32090119444364
"female","gonad","eggs_chicks","chicks","RRM1",0.573102128814712,0.00276450266610836,2.55838298688799
"female","gonad","eggs_chicks","chicks","ADO",0.572305736816886,0.0280540490345563,1.55200444825956
