"gene","counts","sex","tissue","treatment","samples"
"AR",10.5562768372957,"female","pituitary","n9","x.y9_female_pituitary_n9"
"AR",9.09781231627332,"female","pituitary","lay","y.s156.o.r_female_pituitary_lay"
"AR",9.34854445236702,"female","pituitary","m.inc.d9","y12.x_female_pituitary_m.inc.d9"
"AR",8.89928545449955,"female","pituitary","inc.d17","y126.w92.x_female_pituitary_inc.d17"
"AR",10.0159702048931,"female","pituitary","inc.d9","y128.g23.x_female_pituitary_inc.d9"
"AR",10.1941058358325,"female","pituitary","inc.d3","y13.x_female_pituitary_inc.d3"
"AR",10.5055829883851,"female","pituitary","inc.d17","y130.o170.x_female_pituitary_inc.d17"
"AR",8.68629953000033,"female","pituitary","inc.d17","y135.blu107.x_female_pituitary_inc.d17.NYNO"
"AR",9.90297599473755,"female","pituitary","inc.d17","y136.x_female_pituitary_inc.d17"
"AR",9.19163219719285,"female","pituitary","inc.d9","y140.w119.x_female_pituitary_inc.d9"
"AR",9.82426677197882,"female","pituitary","prolong","y146.r32.x_female_pituitary_inc.prolong"
"AR",9.24479820743619,"female","pituitary","hatch","y15.x_female_pituitary_hatch"
"AR",10.3388924984955,"female","pituitary","n5","y6.o54_female_pituitary_n5"
"AR",9.42916299260335,"female","pituitary","hatch","y7.g58_female_pituitary_hatch"
"AR",10.0721714485873,"female","pituitary","m.inc.d17","y85.r71.x_female_pituitary_m.inc.d17"
"AR",9.23196237714596,"female","pituitary","n5","y94.g133.x_female_pituitary_n5"
"AR",9.60996779378184,"female","pituitary","n9","y97.x_female_pituitary_n9"
"AR",9.82343148085392,"female","pituitary","m.n2","y98.g54_female_pituitary_m.hatch"
"AVP",5.44543424589227,"female","pituitary","control","L.G118_female_pituitary_control.NYNO"
"AVP",5.77389291091755,"female","pituitary","control","R.G106_female_pituitary_control"
"AVP",5.09617484266787,"female","pituitary","control","R.R20_female_pituitary_control"
"AVP",9.05096941105088,"female","pituitary","control","R.R9_female_pituitary_control.NYNO"
"AVP",5.77154084130271,"female","pituitary","control","R.W44_female_pituitary_control.NYNO"
"AVP",5.09617484266787,"female","pituitary","prolong","blk.s031.pu.d_female_pituitary_prolong"
"AVP",5.41688962438175,"female","pituitary","m.n2","blk.s032.g.w_female_pituitary_m.hatch"
