id,studytype,treatment,num,num.treatment,sex,date,starttime,decaptime,moltbin,t,cort,p4,prl,e2,gon,gonad,molt,stage,maniptype
x-blu102/w105,characterization,inc3,3,3.i3,f,2/1/17,10:01:00,0:04:00,1,.,3.364881218,0.588762473,47.96,0.158034053,SF,"hierarchy, 3mm",body,early,.
r73/g127-x,characterization,inc3,3,3.i3,f,8/25/16,10:40:00,0:03:00,1,.,1.902913452,0.301158624,16.75,0.837670532,SF,"large oviduct, 1-3mm yolky follicles",body,early,.
o173/w179-x,characterization,inc3,3,3.i3,f,11/9/16,9:47:00,0:03:00,0,.,1.687368564,0.261899461,29.28,0.147310413,SF,"lg oviduct; 1-3mm follicles, yolky. many in hierarchy",no,early,.
o156/w80-x,characterization,inc3,3,3.i3,f,8/17/16,10:56:00,0:03:00,1,.,2.736331886,0.345473994,26.29,0.675810429,MF,"lg, hierarchy 3-4mm","body molt, no tail",early,.
y13-x,characterization,inc3,3,3.i3,f,2/1/17,10:01:00,0:02:00,1,.,0.8606765,0.615804726,6.01,0.46125277,SF,no hierarchy,body,early,.
r27/w111-blu125,characterization,inc3,3,3.i3,f,8/24/16,10:49:00,0:04:00,0,.,2.693419772,1.414362139,12.12,0.144979922,SF,"small, yolky, hierarchy",none,early,.
x-g147/blu28,characterization,inc3,3,3.i3,m,8/25/16,11:04:00,0:06:00,1,0.187338051,2.064228216,1.185913471,5.42,.,L,huge!,"body, no wing",early,.
blu111/w113-x,characterization,inc3,3,3.i3,m,2/1/17,10:01:00,0:04:00,1,0.211438579,3.235237222,0.37694131,25.57,.,L,large,body,early,.
g146-blu51,characterization,inc3,3,3.i3,m,2/1/17,10:01:00,0:03:00,1,1.436548482,0.977416979,0.333972333,6.03,.,L,large,body,early,.
g20/w106-x,characterization,inc3,3,3.i3,m,8/24/16,10:49:00,0:03:00,1,0.858639899,2.093433361,0.26232905,28.93,.,L,large cream colored,"secondary molt, p3",early,.
x-o163/w101,characterization,inc3,3,3.i3,m,7/27/16,9:42:00,0:08:00,1,0.066059803,6.980235203,1.027522057,3.65,.,L,large gonads,tail molt,early,.
x-r64/g140,characterization,inc3,3,3.i3,m,8/25/16,10:40:00,0:05:00,1,1.609210562,1.763950781,3.248137361,7.89,.,L,large testes,"p8, both sides",early,.
o48/r197-x,characterization,inc3,3,3.i3,m,1/18/17,10:37:00,0:02:00,1,0.34718024,1.308417597,0.269608408,11.45,.,L,lg,"body, p11",early,.
x-blu42/o28,characterization,inc3,3,3.i3,m,2/2/17,9:32:00,0:03:00,1,1.013991734,0.895380854,1.072119267,14.85,.,L,lg,body,early,.
y98/o50-x,characterization,inc3,3,3.i3,m,11/9/16,9:47:00,0:03:00,1,0.079902934,3.163789489,1.471155252,15.56,.,L,lg,body,early,.
y149/r52-x,characterization,inc3,3,3.i3,m,8/17/16,10:56:00,0:02:00,1,0.094599356,0.988382179,1.027522057,6.2,.,L,lg cream colored,"body molt, p8, tail",early,.
x-blu101/w43,characterization,inc9,4,4.i9,f,1/20/17,10:08:00,0:02:00,1,.,0.918075128,0.14489406,27.25,0.151302059,SF,"~2mm small follicles, no hierarchy","body, p10 on L side",early,.
x-y109,characterization,inc9,4,4.i9,f,11/10/16,9:56:00,0:04:00,1,.,1.679627787,1.30698442,16.8,0.217383835,SF,1-2mm yolky foll. many. hierarchy,body,early,.
x-Y93/G126,characterization,inc9,4,4.i9,f,10/27/16,10:35:00,0:02:00,1,.,1.029396976,0.13368734,8.34,0.147094286,SF,"1-2mm yolky follicles, hierarchy but many immature granulosa",body,early,.
blu47/y96-x,characterization,inc9,4,4.i9,f,11/14/16,11:10:00,0:02:00,1,.,1.698159785,0.111987133,30.29,0.057230423,SF,"1-2mm yolky follicles, hierarchy, oviduct medium",body,early,.
o73-x,characterization,inc9,4,4.i9,f,11/14/16,11:29:00,0:03:00,1,.,2.757044188,0.768719041,28.94,0.145545891,SF,"1-2mm yolky follicles, hierarchy, oviduct medium",body,early,.
blk/s-pu/y,characterization,inc9,4,4.i9,f,11/17/16,10:08:00,0:02:00,1,.,1.011016195,0.205573522,11.89,0.04437707,MF,"4mm follicles, hierarchy","tail, body, p9",early,.
blu122/r66-x,characterization,inc9,4,4.i9,f,9/14/16,9:55:00,0:03:00,.,.,2.118949291,0.194917405,18.08,0.17515172,MF,4mm yolky follicles hierarchy,.,early,.
x-g9/o166,characterization,inc9,4,4.i9,f,7/25/16,10:21:00,0:03:00,.,.,2.00020765,0.357596232,33.86,0.211448607,MF,"hierarchy in follicles, small and yolky (3-4mm for larger ones)",.,early,.
r30/w112-r46,characterization,inc9,4,4.i9,f,8/11/16,10:48:00,0:03:00,1,.,1.929768912,0.239891119,17.55,0.148813622,MF,lots of follicles,"p10 shorter, secondary on left",early,.
g75-x,characterization,inc9,4,4.i9,f,10/20/16,10:27:00,0:02:00,1,.,1.079721875,0.162925243,13.1,0.147753193,MF,medium follicles (yolky) hierarchy largest follicle ~3mm,"body, p9",early,.
y140/w119-x,characterization,inc9,4,4.i9,f,10/20/16,11:16:00,0:03:00,1,.,1.425614013,0.250803744,35.13,0.128427643,MF,"medium follicles (yolky) hierarchy, largest follicle ~4mm",p10 (one),early,.
R36/w184-x,characterization,inc9,4,4.i9,f,8/3/16,9:46:00,0:02:00,1,.,1.746150909,1.803122732,23.92,0.172455936,MF,"small yolky follicles, hierarchy (largest ~3mm)",p1- asymmetrical,early,.
y95/g131-x,characterization,inc9,4,4.i9,m,11/14/16,11:29:00,0:03:00,.,0.152641347,0.927096214,0.28144778,11.73,.,.,.,.,early,.
o49-x,characterization,inc9,4,4.i9,m,11/17/16,10:08:00,0:04:00,1,0.965307984,1.714570526,0.280146491,27.21,.,L,large,body,early,.
w34-x,characterization,inc9,4,4.i9,m,11/10/16,9:56:00,0:04:00,1,3.015105266,1.814467154,1.041813248,12.38,.,L,large,body,early,.
x-blu106/o153,characterization,inc9,4,4.i9,m,7/25/16,10:21:00,0:02:00,1,0.286937374,1.140185721,0.271013237,35.69,.,L,large testes,p8 shorter on both wings (probably typical in these birds); egg was double-yolked. No visible development.,early,.
o57-g59,characterization,inc9,4,4.i9,m,11/14/16,11:10:00,0:03:00,1,0.144455927,1.056821637,0.1894088,32.44,.,L,lg,body,early,.
x-g13/w109,characterization,inc9,4,4.i9,m,8/11/16,10:48:00,0:02:00,0,0.402026576,0.827541749,0.131280522,14.97,.,L,lg,none,early,.
x-y127/w93,characterization,inc9,4,4.i9,m,8/3/16,9:46:00,0:04:00,1,0.327482391,0.775196473,0.256210537,23.46,.,L,lg testes,"tail, p10 asymmetrical",early,.
g19/w36-x,characterization,inc9,4,4.i9,m,1/20/17,10:08:00,0:02:00,.,1.164142765,1.674053838,1.018584871,16.4,.,M,medium,na,early,.
