"net$colors","gene"
"turquoise","AXIN1"
"turquoise","AXIN2"
"turquoise","AZI2"
"turquoise","AZIN1"
"turquoise","AZIN2"
"blue","B2M"
"turquoise","B3GALNT2"
"turquoise","B3GALT1"
"turquoise","B3GALT2"
"turquoise","B3GALT5"
"turquoise","B3GALT6"
"turquoise","B3GAT1"
"turquoise","B3GLCT"
"greenyellow","B3GNT4"
"turquoise","B3GNT5"
"turquoise","B3GNT7"
"turquoise","B3GNTL1"
"grey","B3GNTL2"
"turquoise","B4GALNT3"
"turquoise","B4GALNT4"
"turquoise","B4GALT1"
"turquoise","B4GALT2"
"turquoise","B4GALT3"
"turquoise","B4GALT4"
"turquoise","B4GALT5"
"turquoise","B4GALT6"
"turquoise","B4GALT7"
"turquoise","B9D1"
"turquoise","BAALC"
"grey","BAAT"
"turquoise","BABAM1"
"turquoise","BACE1"
"turquoise","BACE2"
"turquoise","BACH1"
"turquoise","BACH2"
"turquoise","BAG1"
"turquoise","BAG2"
"turquoise","BAG3"
"turquoise","BAG4"
"turquoise","BAG5"
"turquoise","BAHCC1"
"turquoise","BAHD1"
"turquoise","BAI1"
"turquoise","BAI3"
"turquoise","BAIAP2"
"turquoise","BAIAP2L1"
"turquoise","BAIAP2L2"
"turquoise","BAK1"
"turquoise","BAMBI"
"turquoise","BANF1"
"turquoise","BANK1"
"turquoise","BANP"
"turquoise","BAP1"
"turquoise","BARD1"
"grey","BARHL1"
"yellow","BARHL2"
"turquoise","BARX2"
"turquoise","BASP1"
"grey","BATF"
"blue","BATF3"
"turquoise","BAZ1A"
"turquoise","BAZ1B"
"turquoise","BAZ2B"
"turquoise","BBIP1"
"turquoise","BBOX1"
"turquoise","BBS1"
"turquoise","BBS10"
"turquoise","BBS12"
"turquoise","BBS2"
"turquoise","BBS4"
"turquoise","BBS7"
"turquoise","BBS9"
"turquoise","BBX"
"pink","BCAN"
"turquoise","BCAP29"
"turquoise","BCAP31"
"turquoise","BCAR1"
"turquoise","BCAR3"
"brown","BCAS1"
"turquoise","BCAS2"
"turquoise","BCAS3"
"turquoise","BCAT1"
"turquoise","BCCIP"
"turquoise","BCDIN3D"
"turquoise","BCHE"
"turquoise","BCKDHA"
"turquoise","BCKDHB"
"turquoise","BCL10"
"turquoise","BCL11A"
"turquoise","BCL11B"
"turquoise","BCL2"
"blue","BCL2A1"
"turquoise","BCL2L1"
"turquoise","BCL2L13"
"grey","BCL2L14"
"turquoise","BCL6"
"turquoise","BCL7A"
"turquoise","BCL7B"
"turquoise","BCL9"
"turquoise","BCL9L"
"turquoise","BCLAF1"
"turquoise","BCMO1"
"turquoise","BCO2"
"turquoise","BCOR"
"turquoise","BCORL1"
"turquoise","BCR"
"turquoise","BCS1L"
