"","group","results","genes"
"86","FP","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)","AC005943.2; ACTR10; AGR2; AIMP2; ALDH7A1; ARL1; ATOX1; ATP5C1; ATP5G3; ATP5H; BZW1; C1H11ORF73; C5H14ORF166; C7ORF50; CCDC58; CHCHD3; CLAPS2; COPE; COX4I1; CTC-487M23.8; CYP20A1; DCXR; EIF2B3; EIF2S2; EIF3D; EMC3; ERH; ETFA; GCSH; GLRX3; GMPPB; LOC418811; LSM1; MCFD2; MDH1; MDH2; MPC2; MRPL13; MRPL23; MRPL33; MRPL48; MRPS26; MRPS5; MSANTD4; NDUFA10; NDUFB9; NDUFC2; NIP7; NOP16; NUP37; PARK7; PDHA1; PEX10; PHB; PIGY; POLR2L; POMP; PPA1; PRDX4; PRELID1; PSMA1; PSMA2; PSMA6; PSMB2; PSMB3; RARS; RER1; RFC2; RHOA; RPL11; RPL23A; RPL30; RPL32; RPL35; RPL7A; RPLP2; RPS12; RPS13; RPS20; RPS21; RPS8; RRP15; SAMM50; SEC11C; SEC61G; SELK; SLC12A4; SNRPD3; SNRPF; SNX3; SPCS1; SUMF2; TMEM208; TMEM258; TMPRSS13; TPI1; TRIAP1; TSR3; TTC19; TUSC3; UFC1; UFD1L; UQCRQ; VIMP; YBX1"
"87","MG","Bldg2Lay(-); Lay2Inc3(+)","ANXA5; C28H19ORF10; EIF3H; EIF3I; GLYR1; MRP63; MRPL27; PDAP1; RPL11; RPL21; RPL22; RPL30; RPL31; RPL34; RPL35A; RPL36A; RPL37; RPL38; RPL39; RPL7; RPL7A; RPS13; RPS14; RPS15A; RPS16; RPS17; RPS27L; RPS3; RPS3A; SDF2L1; TIMM17A; UQCRQ"
"88","MG","Bldg2Lay(+); Lay2Inc3(-)","CHD9; NOD1; UGT8"
"89","MG","Inc3toInc9(+); Inc9toInc17(-)","SHROOM2"
"90","MH","Bldg2Lay(-); Hatch2N5(+); N5toN9(-)","TPH2"
"91","MH","Bldg2Lay(+); Lay2Inc3(-)","COX14; HAX1; SCO2"
"92","MH","Hatch2N5(-); In17toHatch(+)","ATP2A1; LOC101748402; NEB"
"93","MH","In17toHatch(-); Inc9toInc17(+)","CSF3R; LOC100858707; RAB6A"
"94","MH","Inc9toInc17(-); In17toHatch(+)","CERKL"
"95","MH","Lay2Inc3(+); Inc9toInc17(-)","ALPK2"
"96","MP","Hatch2N5(-); In17toHatch(+)","ANAPC10; DNAJB11; FICD; VIMP"
"97","MP","Hatch2N5(-); N5toN9(+)","C1QTNF4; PHLDA2"
"98","MP","Hatch2N5(+); N5toN9(-)","CEBPD; IFIT5"
"99","MP","In17toHatch(-); Inc9toInc17(+)","APOH; CNP; DAAM2; FA2H; FLRT2; HEBP2; LOC100859605; LOC100859848; LOC107050516; LOC769726; MBP; NINJ2; PLLP; PLP1; SEPP1L; SHANK3; SOX10; TMEM52; TMEM88B; UGT8"
"100","MP","Inc9toInc17(-); Hatch2N5(+)","POLG"
"101","MP","Inc9toInc17(+); Hatch2N5(-)","ADARB1; ALG12; ANKRD12; C1H12ORF23; CKS2; CREB3L1; CRELD2; DCK; ERP29; HMGN5; HOMER2; HSP90B1; IER3IP1; IFNGR1; ITGB1BP3; IWS1; LBH; LOC101750767; LPPR5; LYSMD2; METTL21A; MRPL33; MSTN; NT5C3A; NUS1; OAZ1; PAM; PCNA; PDIA6; PSPH; PYCR2; QDPR; RFC5; RPN2; SDF2L1; SEL1L; SPCS3; SRSF10; SSR1; SSR3; TACC3; TMPO; TPT1; TRAM1; TRIP11"
"102","MP","Inc9toInc17(+); Hatch2N5(-); In17toHatch(+)","ERLEC1; FTL"
"103","MP","Inc9toInc17(+); Hatch2N5(-); N5toN9(-)","CREM"
"104","MP","Inc9toInc17(+); In17toHatch(+)","NUCB2"
"105","MP","Inc9toInc17(+); In17toHatch(+); N5toN9(-)","OLFM1"
"106","MP","Inc9toInc17(+); N5toN9(-)","BRCA1; BUB1; CASC5; CCNB3; CDC20; CDC45; CDCA7; CDK1; CENPF; CKAP2; CKS1B; DIAPH3; DNAJC12; DUSP10; E2F1; ESCO2; FAM46D; FGF6; HMMR; KNSTRN; KNTC1; KPNA2; LOC107051182; LOC423793; MAD2L1; MCM2; MKI67; MYC; NDC80; NUF2; PBK; PDE4D; RACGAP1; RRM2; SHCBP1; SKA1; SLBP; UBE2C"
"107","MP","Lay2Inc3(-); Hatch2N5(-)","PDCD2L"
"108","MP","Lay2Inc3(-); Inc3toInc9(+)","PNOC"
"109","MP","Lay2Inc3(-); Inc3toInc9(+); Inc9toInc17(-)","C11H19ORF40"
