"study","treatment","sex","bird_id","prolactin","corticosterone","testosterone","moltbin","estradiol","progesterone"
"manipulation","prolong","female","x.g50",44.22816,2.411689537,NA,0,0.040930954,0.293253549
"manipulation","prolong","male","g38.x",61.34784,0.656453064,1.228304102,0,NA,NA
"characterization","hatch","female","y15.x",71.09216,3.433226862,NA,1,0.248203766,NA
"characterization","hatch","male","g53.y84",87.136832,0.903546065,0.165062638,1,NA,NA
"characterization","bldg","female","s.d.blk.l",8.057216,0.942648981,NA,1,0.160335132,0.191994373
"characterization","bldg","male","s.l.d.r",10.42176,1.115481732,3.341892426,1,NA,0.190803005
"manipulation","m.n2","female","blk0.x",15.25856,NA,NA,NA,NA,NA
"manipulation","m.n2","male","x.blk23",36.242432,NA,NA,NA,NA,NA
"characterization","bldg","female","r.s.g.o",14.377984,0.979473768,NA,1,0.835757718,2.477182407
"characterization","bldg","male","s.pu.blk.r",3.594976,NA,0.345106208,1,NA,NA
"characterization","hatch","male","x.o160.w102",65.243904,1.123182974,2.290113695,1,NA,0.339220259
"characterization","hatch","female","x.o37.blu50",58.678496,1.695390838,NA,1,NA,NA
"characterization","hatch","male","x.g70",90.944,0.86959186111581,2.128348217,1,NA,NA
"characterization","hatch","female","r183.o72",80.77456,3.090189599,NA,1,0.188040203,0.311848932
"manipulation","m.inc.d9","male","o.d.s",13.781024,3.303128498,2.274177428,1,NA,NA
"manipulation","m.inc.d9","female","g73.x",3.351552,0.574358188,NA,1,0.107689223,0.326364048
"manipulation","prolong","female","blu115.x",58.53696,1.032535651,NA,0,0.122583764,0.111697186
"manipulation","prolong","male","r81.x",47.51216,1.989585049,0.277145041,0,NA,NA
"characterization","bldg","female","s.blk.r.o",8.124512,0.891396125,NA,1,0.071243085,NA
"characterization","bldg","male","r.s.d.o",3.12768,1.414840487,NA,1,NA,NA
"characterization","n5","female","x.g37",42.88768,3.574433035,NA,0,0.158072607,NA
"characterization","n5","male","d.s.blk.o",76.224352,1.346790313,0.120509254,0,NA,0.100301176
"characterization","n5","male","o152.o120.w42",61.0336,1.305278351,0.710021866,1,NA,0.790393637
"characterization","n5","female","x.r50.w97",50.757952,0.829183769,NA,0,0.482327193,NA
"characterization","bldg","female","l.s.y.blk",20.533312,0.485549772,NA,1,0.041515661,0.23029791
