"study","treatment","sex","bird_id","hormone","plasma_conc"
"characterization","lay","female","x.blu6.y80","prolactin",14.53
"characterization","inc.d17","female","y136.x","prolactin",14.47
"manipulation","m.inc.d9","female","x.r76","prolactin",14.31
"characterization","inc.d9","female","g75.x","prolactin",13.1
"characterization","inc.d3","female","blu39.o26.x","prolactin",12.92
"manipulation","m.inc.d17","female","g63.blu65","prolactin",12.88
"characterization","n9","male","r37.w100.x","prolactin",12.79
"characterization","inc.d9","male","w34.x","prolactin",12.38
"characterization","inc.d3","female","r27.w111.blu125","prolactin",12.12
"characterization","lay","male","g.s.blk.y","prolactin",11.74
"characterization","inc.d9","male","y95.g131.x","prolactin",11.73
"manipulation","m.n2","male","x.blu76","prolactin",11.67
"manipulation","m.inc.d8","female","x.s188","prolactin",11.67
"characterization","inc.d9","male","blu108.w40.o158","prolactin",11.61
"manipulation","m.inc.d3","male","blk5.x","prolactin",11.48
"characterization","inc.d3","male","o48.r197.x","prolactin",11.45
"manipulation","m.inc.d17","female","x.y119.w11","prolactin",11.31
"manipulation","m.inc.d9","female","x.blu25","prolactin",10.9
"characterization","inc.d9","male","x.w192.o157","prolactin",10.87
"characterization","n9","male","x.o2","prolactin",10.36
"characterization","bldg","female","blk11.x","prolactin",9.32
"manipulation","m.n2","female","x.blu96","prolactin",9.31
"manipulation","m.inc.d3","female","g144.r54.x","prolactin",9.19
"manipulation","m.inc.d3","male","x.g5.w79","prolactin",8.92
"manipulation","m.inc.d9","female","blu63.g62","prolactin",8.91
"manipulation","m.inc.d17","male","g32.blu79","prolactin",8.88
"manipulation","m.inc.d9","male","r85.g39","prolactin",8.45
"characterization","bldg","female","o38.blu29.x","prolactin",8.15
"manipulation","m.inc.d8","male","x.y51","prolactin",8.11
"manipulation","m.inc.d8","male","g137.r24.w5","prolactin",8.01
"characterization","inc.d3","male","x.r64.g140","prolactin",7.89
"manipulation","m.inc.d17","male","x.r10.w18","prolactin",7.4
"characterization","bldg","male","x.o30.g134","prolactin",7.37
"manipulation","m.inc.d9","male","r196.x","prolactin",7.21
"manipulation","m.inc.d9","male","y63.x","prolactin",6.67
"characterization","bldg","male","blu33.y88.x","prolactin",6.36
"manipulation","m.inc.d8","male","y55.x","prolactin",6.33
"characterization","inc.d3","male","y149.r52.x","prolactin",6.2
"characterization","bldg","male","x.r67.blu35","prolactin",6.05
"characterization","inc.d3","male","g146.blu51","prolactin",6.03
"characterization","inc.d3","female","y13.x","prolactin",6.01
"characterization","bldg","male","g52.blu58","prolactin",6
"characterization","lay","female","x.w51","prolactin",5.85
"manipulation","m.inc.d17","female","y85.r71.x","prolactin",5.84
"characterization","bldg","male","g104.w82.x","prolactin",5.54
"characterization","inc.d3","male","x.g147.blu28","prolactin",5.42
"manipulation","m.inc.d3","male","x.r185","prolactin",4.94
"manipulation","m.n2","male","g34.x","prolactin",4.75
"characterization","lay","female","s.o.pk","prolactin",4.42
"manipulation","m.n2","male","o3.x","prolactin",4.26
"characterization","control","female","w191.r1","prolactin",4.2
"characterization","bldg","female","g141.blu27.x","prolactin",3.89
"manipulation","prolong","male","g.y.o.s","prolactin",3.78
"characterization","inc.d3","male","x.o163.w101","prolactin",3.65
"characterization","bldg","female","x.r39.g10","prolactin",3.58
"manipulation","m.inc.d9","male","y.w.blk","prolactin",3.48
"manipulation","m.inc.d9","female","g73.x","prolactin",3.35
