"","gene","direction.x","direction.y"
"636","FBLN5","male",NA
"637","FBN2","male","lo"
"638","FBP1","male",NA
"639","FBRSL1","female",NA
"640","FBXL17","male",NA
"641","FBXL3","male",NA
"642","FBXO32","male",NA
"643","FBXO33","female",NA
"644","FBXO4","male",NA
"645","FBXW4","female",NA
"646","FBXW8","female",NA
"647","FCGBP","female",NA
"648","FCHO2","male",NA
"649","FDX1L","female","hi"
"650","FEM1C","male",NA
"651","FEN1","male",NA
"652","FER","male",NA
"653","FGF10","male",NA
"654","FGF5","female",NA
"655","FGGY","female",NA
"656","FGL2","male","lo"
"657","FICD","female","hi"
"658","FILIP1L","male","lo"
"659","FKBP7","female",NA
"660","FKTN","male",NA
"661","FLI1","female","lo"
"662","FLRT3","female",NA
"663","FLT1","female","lo"
"664","FLT4","female","lo"
"665","FLVCR1","female",NA
"666","FNDC1","male","lo"
"667","FNDC3B","female",NA
"668","FOCAD","male",NA
"669","FOXN4","female",NA
"670","FOXO1","male",NA
"671","FOXP1","female",NA
"672","FOXRED1","female",NA
"673","FREM1","male",NA
"674","FREM3","male",NA
"675","FRMD1","female",NA
"676","FRMD3","male",NA
"677","FRMD4B","female","lo"
"678","FRMPD1","male",NA
"679","FRZB","female",NA
"680","FSD1L","male",NA
"681","FSHB","female",NA
"682","FST","male",NA
"683","FTL","male","hi"
"684","FUBP1","male",NA
"685","FUNDC2","female",NA
"686","FURIN","female",NA
"687","FUT8","female",NA
"688","FXN","male",NA
"689","FYB","male","lo"
"690","FYN","female","lo"
"691","FZD4","female","lo"
"692","FZD8","female",NA
"693","GAB3","female",NA
"694","GABRA5","female",NA
"695","GABRG3","female",NA
"696","GABRQ","female",NA
"697","GAD2","male",NA
"698","GADD45B","male","hi"
"699","GADL1","female","hi"
"700","GAK","male",NA
"701","GALC","female",NA
"702","GALNT5","male",NA
"703","GALNT6","female","hi"
"704","GALT","male",NA
"705","GAP43","female",NA
"706","GAS1","male","lo"
"707","GATA2","female","lo"
"708","GATB","female",NA
"709","GBA2","male",NA
"710","GBAS","female",NA
"711","GBE","male",NA
"712","GBGT1","female",NA
"713","GC","female",NA
"714","GCLC","male","hi"
"715","GCNT1","male",NA
"716","GCNT4","male",NA
"717","GDAP2","female",NA
"718","GDF7","male","lo"
"719","GDPD2","male","lo"
"720","GFM1","female",NA
"721","GFM2","male",NA
"722","GHRHR","female",NA
"723","GIN1","male",NA
"724","GIPC2","female",NA
"725","GJA3","female",NA
"726","GJA4","female","lo"
"727","GK","male","hi"
"728","GLB1L","female",NA
"729","GLCCI1","female",NA
"730","GLDC","male","lo"
"731","GLIPR2","male",NA
"732","GLP1R","male",NA
"733","GLTSCR2","female",NA
"734","GLUD1","female",NA
"735","GMPPA","female",NA
"736","GMPPB","female","hi"
"737","GNA11","female","hi"
"738","GNAQ","male",NA
"739","GNAZ","male",NA
"740","GNE","male",NA
"741","GNG10","male",NA
"742","GNG13","male",NA
"743","GNG2","male","lo"
"744","GNG4","male","hi"
"745","GNPTAB","female",NA
"746","GOLM1","male",NA
"747","GOLPH3","male",NA
"748","GORASP2","female","hi"
"749","GOSR1","male",NA
"750","GOT2","female",NA
"751","GPBP1","male",NA
"752","GPBP1L1","female",NA
"753","GPC4","male","lo"
"754","GPC5","male",NA
"755","GPC6","female","hi"
"756","GPD2","male","lo"
"757","GPER1","male",NA
"758","GPHN","male","hi"
"759","GPM6B","male",NA
"760","GPR114","female",NA
"761","GPR137B","female",NA
"762","GPR161","male",NA
"763","GPR22","male",NA
"764","GPR56","female","lo"
"765","GPR64","female",NA
"766","GPR65","male","lo"
"767","GPR85","female",NA
"768","GPRIN2","male",NA
"769","GPX3","male",NA
"770","GPX8","male","lo"
"771","GRB10","female",NA
"772","GREB1","female","hi"
"773","GRHPR","male",NA
"774","GRIA1","female",NA
"775","GRID2IP","female","lo"
"776","GRIK4","female",NA
"777","GRIN1","female",NA
"778","GRIN3A","male","hi"
"779","GRIP1","male","hi"
"780","GRM7","male","lo"
"781","GSN","male","lo"
"782","GSTZ1","female",NA
"783","GTF2H2","male",NA
"784","GTF2H5","male",NA
"785","GTSF1","female",NA
"786","GULP1","male",NA
"787","H3F3C","male",NA
"788","HABP4","male",NA
"789","HADHA","female",NA
"790","HAPLN2","male",NA
"791","HAPLN3","female","lo"
"792","HAUS6","male","hi"
"793","HCN1","male",NA
"794","HDAC4","female",NA
"795","HDAC8","female",NA
"796","HDHD2","male",NA
"797","HDLBP","female","hi"
"798","HECTD2","male",NA
"799","HELB","female",NA
"800","HEMK1","female",NA
"801","HEPH","female",NA
"802","HES4","male","lo"
"803","HGSNAT","female",NA
"804","HIBCH","female",NA
"805","HINT1","male",NA
"806","HINT2","male",NA
"807","HINT3","male",NA
"808","HIST1H2B5L","female",NA
"809","HIST1H2B7","female",NA
"810","HLF","female",NA
"811","HMGCL","female",NA
"812","HMGCR","male",NA
"813","HNMT","female",NA
"814","HNRNPH1","male","hi"
"815","HNRNPK","male",NA
"816","HNRNPLL","male",NA
"817","HOOK3","male","hi"
"818","HP1BP3","female",NA
"819","HS3ST1","female",NA
"820","HS3ST5","female","hi"
"821","HS6ST3","male","hi"
"822","HSD17B10","female",NA
"823","HSD17B4","male",NA
"824","HSDL1","female","hi"
"825","HSDL2","male",NA
"826","HSPB3","male",NA
"827","HSPH1","male",NA
"828","HTATSF1","male",NA
"829","HTR2C","male","lo"
"830","HTRA3","female",NA
"831","HUS1","male",NA
"832","HYAL3","female",NA
"833","HYI","female",NA
"834","HYOU1","female","hi"
"835","HZGJ","male",NA
"836","ID1","female",NA
"837","ID2","female",NA
"838","IDH2","female","lo"
"839","IDH3B","female",NA
"840","IDNK","male",NA
"841","IDUA","male",NA
"842","IER3IP1","male",NA
"843","IFI30","female",NA
"844","IFIH1","male","lo"
"845","IFITM10","male","lo"
"846","IFT74","male",NA
"847","IFT81","male",NA
"848","IGFBP7","female",NA
"849","IGJ","male","lo"
"850","IGSF11","female","lo"
"851","IGSF3","male","lo"
"852","IKBKAP","male",NA
"853","IKBKE","female",NA
"854","IL12A","male","lo"
"855","IL18","male",NA
"856","IL1RAP","female",NA
"857","IL1RAPL2","male",NA
"858","IL1RL1","male",NA
"859","IL20RA","male","lo"
"860","IL31RA","male",NA
"861","IL6ST","male","lo"
"862","IL7R","male",NA
"863","IMMT","female",NA
"864","INADL","male",NA
"865","INDOL1","female",NA
"866","ING1","female",NA
"867","ING5","female","hi"
"868","INHBA","female",NA
"869","INIP","male",NA
"870","INTS10","female",NA
"871","INTS3","female",NA
"872","INTS5","female",NA
"873","IP6K2","male",NA
"874","IPCEF1","female","lo"
"875","IPMK","female",NA
"876","IPP","male","lo"
"877","IQCB1","female",NA
"878","IQCC","female",NA
"879","IQGAP1","male",NA
"880","IQGAP2","male",NA
"881","ISCA1","male",NA
"882","ISL1","female",NA
"883","ISLR","male","lo"
"884","ISM1","male",NA
"885","ISOC1","male",NA
"886","ITGA1","male","lo"
"887","ITGA2","male","lo"
"888","ITGA7","female",NA
