"bird_id","sex","tissue","treatment","gene","counts"
"pk.w.s141.o","male","pituitary","lay","PRL",17.5185321514935
"r.s005.pk.blk","male","pituitary","lay","PRL",15.6195958726401
"r.s059.d.o","male","pituitary","bldg","PRL",16.8121722762192
"r.s116.blk.pu","male","pituitary","lay","PRL",16.2308184365698
"r.y.s007.blk","male","pituitary","n9","PRL",19.1302171565448
"r176.blu54","male","pituitary","inc.d17","PRL",19.6555629983272
"r190.o43.x","male","pituitary","lay","PRL",17.277799076472
"r195.x","male","pituitary","n9","PRL",18.8611017528415
"r37.w100.x","male","pituitary","n9","PRL",16.9158133038735
"r41.w99.x","male","pituitary","hatch","PRL",20.7142765176459
"r45.X","male","pituitary","inc.d9","PRL",17.5071354564201
"r72.y83.x","male","pituitary","hatch","PRL",20.3737800707926
"s.pu148.blk.r","male","pituitary","bldg","PRL",16.8086971924552
"s065.l.d.o","male","pituitary","bldg","PRL",17.1802761369432
"s066.l.d.r","male","pituitary","bldg","PRL",17.1774973524734
"s150.w.g.blk","male","pituitary","lay","PRL",16.8976597843436
"s187.l.o.r","male","pituitary","n9","PRL",18.7056250053315
"s243.blk.pk.r","male","pituitary","lay","PRL",17.4911983727587
"w34.x","male","pituitary","inc.d9","PRL",17.931769510139
"x.blk.blk.ATLAS","male","pituitary","control","PRL",17.8030413244426
"x.blk16","male","pituitary","n9","PRL",19.1784500022511
"x.blu.o.ATLAS","male","pituitary","control","PRL",18.2970960954286
"x.blu106.o153","male","pituitary","inc.d9","PRL",18.6909618083867
"x.blu117.w89","male","pituitary","inc.d17","PRL",20.8637720759868
"x.blu23.w14","male","pituitary","n9","PRL",18.9887483734188
"x.blu30","male","pituitary","n5","PRL",19.7626683113713
"x.blu42.o28","male","pituitary","inc.d3","PRL",17.0399998161478
"x.g.ATLAS","male","pituitary","control","PRL",17.8522964225382
"x.g.g.ATLAS","male","pituitary","control","PRL",16.1644324768324
"x.g.g.g.ATLAS","male","pituitary","control","PRL",18.3755903450104
"x.g13.w109","male","pituitary","inc.d9","PRL",17.3032552160779
"x.g14.w199","male","pituitary","inc.d17","PRL",18.2750715792979
"x.g147.blu28","male","pituitary","inc.d3","PRL",17.1644385709854
"x.g70","male","pituitary","hatch","PRL",20.455197513791
"x.o160.w102","male","pituitary","hatch","PRL",20.4847151388886
"x.o163.w101","male","pituitary","inc.d3","PRL",13.7683300764711
"x.o164.w123","male","pituitary","n5","PRL",19.9151903557674
"x.o2","male","pituitary","n9","PRL",18.211533694093
"x.o30.g134","male","pituitary","bldg","PRL",16.7667152013686
"x.o47.y82","male","pituitary","inc.d9","PRL",17.8590419850292
"x.o68","male","pituitary","n5","PRL",19.607155282125
"x.r178","male","pituitary","hatch","PRL",20.4577205085797
"x.r181","male","pituitary","n5","PRL",20.268135993184
"x.r29.w96","male","pituitary","inc.d17","PRL",17.8294013771088
"x.r64.g140","male","pituitary","inc.d3","PRL",16.6383433364538
"x.r67.blu35","male","pituitary","bldg","PRL",15.9924161912177
"x.w192.o157","male","pituitary","inc.d9","PRL",16.9767309770545
"x.y.s.ATLAS","male","pituitary","control","PRL",18.1843600696146
"x.y132.w76","male","pituitary","inc.d17","PRL",19.8135983055449
"x.y141.w116","male","pituitary","inc.d9","PRL",17.5534894088551
"y129.x","male","pituitary","n9","PRL",18.8722006794714
"y131.w185.x","male","pituitary","n9","PRL",19.4732065030678
"y133.w77.r58","male","pituitary","inc.d17","PRL",20.2363421611971
"y149.r52.x","male","pituitary","inc.d3","PRL",16.2206044270382
"y95.g131.x","male","pituitary","inc.d9","PRL",17.0306598934609
"y98.o50.x","male","pituitary","inc.d3","PRL",17.6568736157243
"L.G118","female","gonad","control","PRL",9.4136999830874
"R.G106","female","gonad","control","PRL",9.60127166344125
"R.R20","female","gonad","control","PRL",9.52216143305344
"R.R9","female","gonad","control","PRL",8.70337450078171
"R.W44","female","gonad","control","PRL",10.0539659829835
"blk.s061.pu.y","female","gonad","inc.d9","PRL",9.21896478126541
"blk11.x","female","gonad","bldg","PRL",9.34230693768953
"blk21.x","female","gonad","hatch","PRL",9.25109228330845
"blk4.x","female","gonad","n9","PRL",9.20215395363133
"blu.o.x.ATLAS","female","gonad","control","PRL",9.1294756373378
"blu103.x","female","gonad","hatch","PRL",10.1301978521487
"blu124.w180.x","female","gonad","hatch","PRL",9.50429877793619
"blu36.w16","female","gonad","n9","PRL",9.33276294275549
"blu38.g135.x","female","gonad","bldg","PRL",9.44627918117406
"blu39.o26.x","female","gonad","inc.d3","PRL",9.60849077355008
"blu47.y96.x","female","gonad","inc.d9","PRL",9.67851731436884
"blu55.g51","female","gonad","n5","PRL",9.75057371032784
"g.blk.s004.pk","female","gonad","lay","PRL",11.2453768511782
"g.s078.blk.o","female","gonad","lay","PRL",9.86128843024238
"g.x.ATLAS","female","gonad","control","PRL",9.78271476477791
"g141.blu27.x","female","gonad","bldg","PRL",9.52112050125511
"g142.r40.x","female","gonad","inc.d17","PRL",9.55224332800204
"g6.w197.x","female","gonad","inc.d3","PRL",9.84114064765522
"g75.x","female","gonad","inc.d9","PRL",9.17091099351325
"l.s120.y.blk","female","gonad","bldg","PRL",10.0602376517739
"o156.w80.x","female","gonad","inc.d3","PRL",9.50294756774225
"o165.w122.x","female","gonad","inc.d3","PRL",9.91610882528266
"o172.w115.x","female","gonad","hatch","PRL",9.35710191368842
"o173.w179.x","female","gonad","inc.d3","PRL",9.3376488597392
"o35.r51.x","female","gonad","inc.d17","PRL",9.84350797321611
"o38.blu29.x","female","gonad","bldg","PRL",9.76717956570235
"o52.blu53","female","gonad","inc.d17","PRL",8.9453183150166
"o73.x","female","gonad","inc.d9","PRL",9.13989543125015
"r.r.x.ATLAS.R2XR","female","gonad","control","PRL",9.28302094183663
"r.r.x.ATLAS","female","gonad","control","PRL",9.24728624439759
"r.s056.g.o","female","gonad","bldg","PRL",8.9728042884559
"r.s171.l.w","female","gonad","n9","PRL",9.42062926142231
"r183.o22","female","gonad","hatch","PRL",9.68700833162265
"r27.w111.blu125","female","gonad","inc.d3","PRL",9.46181437210622
