"","sex","tissue","treatment","gene","samples","counts"
"267","female","pituitary","m.hatch","AGR2","s333.y.blk.pk_female_pituitary_m.hatch",8.1755440810354
"268","female","pituitary","control","AGR2","w191.r1_female_pituitary_control",7.77759098782885
"269","female","pituitary","prolong","AGR2","x.blk20_female_pituitary_prolong",9.26758566368814
"270","female","pituitary","inc.d9","AGR2","x.blu101.w43_female_pituitary_inc.d9",9.09367128350261
"271","female","pituitary","inc.d3","AGR2","x.blu102.w105_female_pituitary_inc.d3",8.19659925639105
"272","female","pituitary","n5","AGR2","x.blu109.w121_female_pituitary_n5",8.22827616854557
"273","female","pituitary","inc.d17","AGR2","x.blu116.w107_female_pituitary_inc.d17.NYNO",9.64483843964746
"274","female","pituitary","inc.d9","AGR2","x.blu122.r66_female_pituitary_inc.d9",7.74058049423201
"275","female","pituitary","m.inc.d9","AGR2","x.blu25_female_pituitary_m.inc.d9",7.99226082929547
"276","female","pituitary","n9","AGR2","x.blu43.g132_female_pituitary_n9",7.61490828238049
"277","female","pituitary","lay","AGR2","x.blu6.y80_female_pituitary_lay",8.00772932743935
"278","female","pituitary","m.inc.d17","AGR2","x.blu94_female_pituitary_m.inc.d17",8.72279603676905
"279","female","pituitary","m.n2","AGR2","x.blu96_female_pituitary_m.n2",7.4021682826826
"280","female","pituitary","m.inc.d8","AGR2","x.g26_female_pituitary_m.inc.d8",8.22652576552003
"281","female","pituitary","n5","AGR2","x.g37_female_pituitary_n5",7.75749452834019
