"","geneid","bird_id","sex","tissue","stage","counts","manip","timept"
"269","prl","d.s110.g.blk","male","pituitary","m.inc.d3",19207.08,"y",5
"270","prlr","d.s110.g.blk","male","pituitary","m.inc.d3",88.99933,"y",5
"271","prl","d.s112.blk.w","female","gonad","m.inc.d17",159.2526,"y",10
"272","prlr","d.s112.blk.w","female","gonad","m.inc.d17",12.48997,"y",10
"273","prl","d.s112.blk.w","female","hypothalamus","m.inc.d17",98.26039,"y",10
"274","prlr","d.s112.blk.w","female","hypothalamus","m.inc.d17",127.8345,"y",10
"275","prl","d.s112.blk.w","female","pituitary","m.inc.d17",340039.6,"y",10
"276","prlr","d.s112.blk.w","female","pituitary","m.inc.d17",72.76518,"y",10
"277","prl","d.s177.blk.r","female","gonad","m.inc.d3",278.6126,"y",5
"278","prlr","d.s177.blk.r","female","gonad","m.inc.d3",24.96763,"y",5
"279","prl","d.s177.blk.r","female","hypothalamus","m.inc.d3",34.71965,"y",5
"280","prlr","d.s177.blk.r","female","hypothalamus","m.inc.d3",188.8302,"y",5
"281","prl","d.s177.blk.r","female","pituitary","m.inc.d3",45473.6,"y",5
"282","prlr","d.s177.blk.r","female","pituitary","m.inc.d3",92.03256,"y",5
"283","prl","g104.w82.x","male","gonad","bldg",187.7192,"n",2
"284","prlr","g104.w82.x","male","gonad","bldg",23.78274,"n",2
"285","prl","g104.w82.x","male","hypothalamus","bldg",96.33499,"n",2
"286","prlr","g104.w82.x","male","hypothalamus","bldg",113.6836,"n",2
"287","prl","g104.w82.x","male","pituitary","bldg",34948.17,"n",2
"288","prlr","g104.w82.x","male","pituitary","bldg",155.1296,"n",2
"289","prl","g114.w83.x","male","gonad","hatch",523.9843,"n",11
"290","prlr","g114.w83.x","male","gonad","hatch",60.1005,"n",11
"291","prl","g114.w83.x","male","hypothalamus","hatch",69.71792,"n",11
"292","prlr","g114.w83.x","male","hypothalamus","hatch",244.1771,"n",11
"293","prl","g114.w83.x","male","pituitary","hatch",216235.5,"n",11
"294","prlr","g114.w83.x","male","pituitary","hatch",313.1431,"n",11
"295","prl","g130.y81.x","male","gonad","inc.d17",565.2604,"n",9
"296","prlr","g130.y81.x","male","gonad","inc.d17",41.09908,"n",9
"297","prl","g130.y81.x","male","hypothalamus","inc.d17",166.9795,"n",9
"298","prlr","g130.y81.x","male","hypothalamus","inc.d17",172.412,"n",9
"299","prl","g130.y81.x","male","pituitary","inc.d17",435891.3,"n",9
"300","prlr","g130.y81.x","male","pituitary","inc.d17",86.22969,"n",9
"301","prl","g137.r24.w5","male","gonad","m.inc.d8",623.9929,"y",7
"302","prlr","g137.r24.w5","male","gonad","m.inc.d8",32.45809,"y",7
"303","prl","g137.r24.w5","male","hypothalamus","m.inc.d8",48.33363,"y",7
"304","prlr","g137.r24.w5","male","hypothalamus","m.inc.d8",229.5106,"y",7
"305","prl","g137.r24.w5","male","pituitary","m.inc.d8",81663.2,"y",7
"306","prlr","g137.r24.w5","male","pituitary","m.inc.d8",101.9453,"y",7
"307","prl","g141.blu27.x","female","gonad","bldg",102.1642,"n",2
"308","prlr","g141.blu27.x","female","gonad","bldg",109.7996,"n",2
"309","prl","g141.blu27.x","female","hypothalamus","bldg",50.63821,"n",2
"310","prlr","g141.blu27.x","female","hypothalamus","bldg",121.9159,"n",2
"311","prl","g141.blu27.x","female","pituitary","bldg",34115.33,"n",2
"312","prlr","g141.blu27.x","female","pituitary","bldg",48.7954,"n",2
"313","prl","g142.r40.x","female","gonad","inc.d17",116.1584,"n",9
"314","prlr","g142.r40.x","female","gonad","inc.d17",11.20218,"n",9
"315","prl","g142.r40.x","female","hypothalamus","inc.d17",247.7135,"n",9
"316","prlr","g142.r40.x","female","hypothalamus","inc.d17",115.3354,"n",9
"317","prl","g142.r40.x","female","pituitary","inc.d17",421682.1,"n",9
"318","prlr","g142.r40.x","female","pituitary","inc.d17",49.46274,"n",9
"319","prl","g143.blu32.x","male","gonad","inc.d17",352.0691,"n",9
"320","prlr","g143.blu32.x","male","gonad","inc.d17",20.42018,"n",9
"321","prl","g143.blu32.x","male","hypothalamus","inc.d17",275.1527,"n",9
"322","prlr","g143.blu32.x","male","hypothalamus","inc.d17",179.7618,"n",9
