"gene","padj","logpadj","lfc","tissue","direction"
"CXCR1",0.000321106291634613,3.49335118494914,1.90857426445429,"gonads","male"
"RPE65",0.000111612415119426,3.95228749430552,1.90735430737971,"gonads","male"
"KPNA4",7.85880762849183e-96,95.1046433419566,1.90718603443492,"gonads","male"
"TMEM170B",3.62800389517524e-23,22.4403322553352,1.9069867137628,"gonads","male"
"TJP3",8.13520770096206e-10,9.08963135456115,1.90645853897141,"gonads","male"
"ZNF521",5.62734836947838e-43,42.2496961983596,1.9062552565411,"gonads","male"
"GRIK4",9.71247086138474e-21,20.0126702711263,1.90510209168643,"gonads","male"
"RUVBL1",1.27091451106865e-47,46.895883661578,1.90487294139993,"gonads","male"
"KIF16B",7.36118313494755e-78,77.1330523775533,1.90314780182077,"gonads","male"
"NCOA5",6.37059396324651e-45,44.1958200742683,1.9028704996917,"gonads","male"
"ZC3H11A",1.07274118909803e-63,62.969505043835,1.902147392821,"gonads","male"
"ZC3H12B",1.30247736696853e-49,48.8852298146588,1.90194674138099,"gonads","male"
"TJP2",8.81795140905511e-31,30.0546322986643,1.90034093621869,"gonads","male"
"PLCH1",5.36815642372057e-25,24.270174837666,1.89962579559884,"gonads","male"
"SCN2A",1.10711243966777e-33,32.9558082694126,1.89739202338218,"gonads","male"
"POLR2D",3.3447760448759e-51,50.4756329558426,1.89698786303942,"gonads","male"
"LRRC70",1.97387602043004e-51,50.7046801289379,1.89698400669153,"gonads","male"
"CKS2",2.16758484999102e-25,24.6640238930851,1.89654267423231,"gonads","male"
"CHRNA7",2.10303203259016e-20,19.6771541122537,1.89639520778302,"gonads","male"
"NRAP",0.000440285684305779,3.35626543520384,1.8951693292738,"gonads","male"
"WDR76",3.87655523639104e-36,35.4115540234605,1.8932684857504,"gonads","male"
"FAM168B",1.46512535561322e-97,96.8341252156361,1.8928272567874,"gonads","male"
"SLC6A7",5.97248915138687e-06,5.22384463044323,1.89200408971749,"gonads","male"
"MDH1",8.85543140016827e-62,61.052790276919,1.8918761690338,"gonads","male"
"LOC427652",1.30893893597438e-22,21.8830806134859,1.89133189171534,"gonads","male"
"SUPT20H",9.7777340692514e-84,83.0097617786724,1.89099050323655,"gonads","male"
"NT5C3A",7.45838229414288e-19,18.1273553597811,1.89061394100299,"gonads","male"
"C7H2ORF66",1.4469893305548e-07,6.83953467116034,1.89038430127067,"gonads","male"
"ERCC3",5.70534397770162e-32,31.2437181666508,1.89034455526667,"gonads","male"
"SCN4B",8.14926506237331e-09,8.08888155613707,1.88971550202622,"gonads","male"
"MFSD6",7.20087561723737e-42,41.1426146907058,1.88954682884239,"gonads","male"
"DLGAP5",5.67068838667523e-33,32.2463642172292,1.88945539020078,"gonads","male"
"SLC51B",1.13180193001806e-08,7.94622956981448,1.88908751935118,"gonads","male"
"GLT8D1",3.4617215059036e-59,58.4607078738709,1.88773645927249,"gonads","male"
"GABARAPL1",1.50052784151391e-47,46.8237559420561,1.88626816522237,"gonads","male"
"TMEM254",4.10619375199917e-27,26.3865605621649,1.88497269671548,"gonads","male"
"LOC428404",0.0277490987944022,1.55675111686468,1.88428606877157,"gonads","male"
"THOC1",2.5417612451754e-74,73.5948652463755,1.88389209051042,"gonads","male"
"LOC424473",2.26640559956331e-08,7.64466236548354,1.8833221601191,"gonads","male"
"LOC101750658",2.10716647659749e-14,13.6763011516194,1.88292473401294,"gonads","male"
"LOC107055704",6.42154906596614e-09,8.19236019472693,1.88272522375946,"gonads","male"
"PCID2",1.86918104179927e-75,74.7283486324646,1.88206079172611,"gonads","male"
"TAF6",1.9789467243177e-30,29.7035658973784,1.88122230223714,"gonads","male"
"TDRD12",4.82345658916673e-18,17.3166416257476,1.8788973659678,"gonads","male"
"ARPC1B",8.82654242128921e-23,22.0542093871841,1.87881690077646,"gonads","male"
"FAM208A",1.7152140819236e-50,49.7656816664109,1.87746429421678,"gonads","male"
"LOC769726",2.00770364679179e-11,10.6973003921552,1.87692146299736,"gonads","male"
"LOC107051014",2.01935319380839e-14,13.6947877143863,1.87605796612371,"gonads","male"
"RSBN1",4.78594816697278e-25,24.320032009216,1.87389736521819,"gonads","male"
"TMEM67",1.35106032654895e-25,24.8693252587482,1.87380444763318,"gonads","male"
"WRB",1.54285957264979e-82,81.8116736005724,1.87339000712458,"gonads","male"
"PTCD2",1.36416087315884e-33,32.8651344110539,1.87291524142204,"gonads","male"
"SHPRH",5.30505965338041e-64,63.2753097282587,1.87194060740518,"gonads","male"
"LOC107049579",0.00203292105924271,2.69187948520894,1.87140025843096,"gonads","male"
"LOC101748559",2.06231569442447e-08,7.68564485318821,1.86956896781922,"gonads","male"
"RNF138",1.24759786888757e-66,65.9039253757642,1.869406029568,"gonads","male"
"CD38",1.45731268343115e-08,7.83644725528608,1.86928420371418,"gonads","male"
"USP15",1.07097345315394e-75,74.9702212941463,1.86888412179849,"gonads","male"
"ADH1C",1.52005051074203e-12,11.8181419803631,1.86852169639401,"gonads","male"
"TTLL1",8.72683896367256e-45,44.0591430379938,1.86715380759975,"gonads","male"
"RRNAD1",4.99723787725013e-10,9.30126997688957,1.86557263767233,"gonads","male"
"WSCD1",3.7957542943206e-09,8.42070190796086,1.86547077801552,"gonads","male"
"GHRHR",0.000262932537760582,3.58015566685869,1.86392663840881,"gonads","male"
"LOC107050995",8.70891886262765e-13,12.0600357555707,1.86341495115076,"gonads","male"
"LRRN1",9.13745584691443e-18,17.0391747085827,1.86271909702866,"gonads","male"
