"V1","sex","treatment","sextissue","hypothesis"
"x.g70_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"x.g9.o166_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"x.o159.w90_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"x.o160.w102_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"x.o163.w101_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
"x.o164.w123_male_hypothalamus_n5","male","n5","male_hypothalamus","hatchling.care"
"x.o175.g21_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
"x.o2_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"x.o30.g134_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"x.o37.blu50_female_hypothalamus_hatch.NYNO","female","hatch","female_hypothalamus","hatchling.care"
"x.o47.y82_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"x.o68_male_hypothalamus_n5","male","n5","male_hypothalamus","hatchling.care"
"x.o70_female_hypothalamus_n5.NYNO","female","n5","female_hypothalamus","hatchling.care"
"x.r178_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"x.r181_male_hypothalamus_n5","male","n5","male_hypothalamus","hatchling.care"
"x.r29.w96_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"x.r33.w183_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"x.r39.g10_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"x.r44.w95_female_hypothalamus_hatch","female","hatch","female_hypothalamus","hatchling.care"
"x.r48.y139_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"x.r50.w97_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
"x.r64.g140_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
