"gene","padj","logpadj","lfc","tissue","direction","row.names","geneid","entrezid"
"XP_015143246.1",9.96883167471681e-05,4.00135573707002,1.58602009513164,"pituitary","bldg",NA,NA,NA
"XP_004944111.1",0.0358839175595113,1.44510014975273,1.58324006273101,"pituitary","bldg",NA,NA,NA
"XP_015153825.1",0.0667631673661395,1.17546306778359,1.57988510446968,"pituitary","bldg",NA,NA,NA
"XP_015151134.1",0.0476973192863438,1.32150602875577,1.57964171592638,"pituitary","bldg",NA,NA,NA
"XP_015130063.1",8.55218031868128e-12,11.0679231508088,1.57750221009965,"pituitary","bldg",NA,NA,NA
"XP_015130149.1",1.75194384375178e-10,9.7564798186814,1.57648818361068,"pituitary","bldg",NA,NA,NA
"XP_015148333.1",0.0540478515822806,1.26722156469873,1.57012262582621,"pituitary","bldg",NA,NA,NA
"XP_015129427.1",0.00766916954555645,2.11525166099348,1.55680361776959,"pituitary","bldg",NA,NA,NA
"XP_003642799.1",1.84198520233992e-06,5.73471386304684,1.55639204056625,"pituitary","bldg",NA,NA,NA
"NP_001026267.1",1.60290053233347e-06,5.79509342686544,1.55057523936972,"pituitary","bldg",NA,NA,NA
"XP_015155701.1",2.48155962925809e-08,7.60527528470336,1.5504569793662,"pituitary","bldg",NA,NA,NA
"NP_001035107.1",0.00031706210613834,3.49885565982853,1.54992646617218,"pituitary","bldg",NA,NA,NA
"XP_015140584.1",1.85939950979691e-06,5.73062728787235,1.54783199264114,"pituitary","bldg",NA,NA,NA
"NP_001076834.1",0.0866833901737663,1.06206411183113,1.5448113965979,"pituitary","bldg",NA,NA,NA
"XP_015128547.1",0.0011968378576334,2.92196468192844,1.54383356029825,"pituitary","bldg",NA,NA,NA
"XP_015141789.1",1.79647406973068e-10,9.7455790470116,1.54025577142622,"pituitary","bldg",NA,NA,NA
"XP_015149412.1",1.35771031070995e-05,4.8671928838707,1.53373633522333,"pituitary","bldg",NA,NA,NA
"XP_420148.2",0.0114545177172808,1.94102319168916,1.53016253277866,"pituitary","bldg",NA,NA,NA
"XP_015130583.1",8.2836014850132e-07,6.08178080270746,1.52726900698518,"pituitary","bldg",NA,NA,NA
"XP_015129360.1",1.50594282337187e-06,5.82219151682421,1.5229255636172,"pituitary","bldg",NA,NA,NA
"XP_015129141.1",8.10972017714205e-16,15.0909941306988,1.52257202169976,"pituitary","bldg",NA,NA,NA
"NP_990518.1",9.35509475719296e-08,7.02895180919897,1.51701732039237,"pituitary","bldg",NA,NA,NA
"XP_015155132.1",1.29274414509923e-10,9.88848742049216,1.51590200857234,"pituitary","bldg",NA,NA,NA
"XP_015146974.1",0.0840088389319896,1.07567501754004,1.51418471797036,"pituitary","bldg",NA,NA,NA
"NP_990312.2",0.00762082761809511,2.11799786193413,1.48951650055454,"pituitary","bldg",NA,NA,NA
"NP_001092824.1",7.03267879157847e-19,18.152879217967,1.48860253317251,"pituitary","bldg",NA,NA,NA
"XP_015156561.1",7.59549352961188e-11,10.1194440018903,1.48792513288815,"pituitary","bldg",NA,NA,NA
"XP_015144588.1",0.0249898298897148,1.60223670018446,1.47969961833339,"pituitary","bldg",NA,NA,NA
"NP_990484.1",2.22981838018725e-09,8.65173050901222,1.47873334873988,"pituitary","bldg",NA,NA,NA
"NP_990526.1",0.01887599935434,1.72409004618428,1.46891888731758,"pituitary","bldg",NA,NA,NA
"XP_015130306.1",5.81085176094066e-08,7.23576020358836,1.46739862177482,"pituitary","bldg",NA,NA,NA
"XP_015128483.1",2.23717120566641e-10,9.65030077905444,1.46695774028727,"pituitary","bldg",NA,NA,NA
"NP_001104599.1",1.16429922889623e-05,4.93393539016913,1.46323309401935,"pituitary","bldg",NA,NA,NA
"XP_015128096.1",1.90798160477882e-11,10.7194258167292,1.46135445947482,"pituitary","bldg",NA,NA,NA
"XP_015155768.1",3.21551982697518e-08,7.49274880820239,1.45966387628647,"pituitary","bldg",NA,NA,NA
"XP_015128702.1",2.86547189668954e-17,16.542803846558,1.4499270507693,"pituitary","bldg",NA,NA,NA
"XP_004935048.1",7.27061141769948e-05,4.13842906587168,1.44896631522491,"pituitary","bldg",NA,NA,NA
"XP_015128414.1",0.0238032285017755,1.62336413431262,1.44876086701796,"pituitary","bldg",NA,NA,NA
"XP_415664.3",0.000255383499734174,3.59280716582706,1.44332148845107,"pituitary","bldg",NA,NA,NA
"XP_004940836.1",1.39522081204729e-11,10.8553570541361,1.44306045099247,"pituitary","bldg",NA,NA,NA
"NP_001026584.1",2.66129920393893e-07,6.57490629594287,1.44227127534263,"pituitary","bldg",NA,NA,NA
"XP_015130564.1",0.0659957685620613,1.18048390914085,1.43541641667991,"pituitary","bldg",NA,NA,NA
"XP_015152954.1",2.92945814135135e-08,7.53321270318984,1.43399400011133,"pituitary","bldg",NA,NA,NA
"XP_015154096.1",2.63411954863884e-16,15.5793645186165,1.43293480194578,"pituitary","bldg",NA,NA,NA
"XP_015150736.1",3.5646426086876e-07,6.44798400602402,1.43034310791972,"pituitary","bldg",NA,NA,NA
"XP_015158171.1",3.75070245539683e-25,24.4258873872235,1.42854885924177,"pituitary","bldg",NA,NA,NA
"XP_015129920.1",0.000203254328336124,3.69196019725921,1.42805640552621,"pituitary","bldg",NA,NA,NA
"NP_001025940.1",0.0355109886977804,1.4496372358929,1.42566772669735,"pituitary","bldg",NA,NA,NA
"NP_001093758.1",0.0789711744236643,1.10253140330739,1.42269148769838,"pituitary","bldg",NA,NA,NA
"XP_015128101.1",0.0601848479481134,1.22051283234346,1.42097239761563,"pituitary","bldg",NA,NA,NA
"XP_015129382.1",7.94571896136682e-09,8.09986679992577,1.41963497556746,"pituitary","bldg",NA,NA,NA
"XP_015155528.1",3.91269739978304e-09,8.40752373827006,1.41864470432722,"pituitary","bldg",NA,NA,NA
"XP_004947837.1",1.75727813972539e-05,4.75515949349171,1.41547103349813,"pituitary","bldg",NA,NA,NA
"XP_003641424.1",4.83544227425528e-06,5.31556379697206,1.41299105677529,"pituitary","bldg",NA,NA,NA
"XP_015152718.1",0.0383718543089417,1.4159872131373,1.41295223617741,"pituitary","bldg",NA,NA,NA
"NP_990567.1",0.000208182449886549,3.68155588500171,1.41039812992735,"pituitary","bldg",NA,NA,NA
